codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
031402011	031402	ELETTROLITICA DI REINTEGRAZIONE CON POTASSIO, GLUCOSIO E SODIO GLUCONATO MONICO	SOLUZIONE PER INFUSIONE- 1 FLACONCINO 50 ML	SODIO CLORURO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO ACETATO/SODIO ACETATO TRIIDRATO/SODIO GLUCONATO/GLUCOSIO	GLUCOSIO|MAGNESIO CLORURO ESAIDRATO|POTASSIO ACETATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CLORURO|SODIO GLUCONATO	||||||	||||||	Soluzione per infusione	B05BB02	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031402023	031402	ELETTROLITICA DI REINTEGRAZIONE CON POTASSIO, GLUCOSIO E SODIO GLUCONATO MONICO	SOLUZIONE PER INFUSIONE- 1 FLACONCINO 100 ML	SODIO CLORURO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO ACETATO/SODIO ACETATO TRIIDRATO/SODIO GLUCONATO/GLUCOSIO	GLUCOSIO|MAGNESIO CLORURO ESAIDRATO|POTASSIO ACETATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CLORURO|SODIO GLUCONATO	||||||	||||||	Soluzione per infusione	B05BB02	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031402035	031402	ELETTROLITICA DI REINTEGRAZIONE CON POTASSIO, GLUCOSIO E SODIO GLUCONATO MONICO	SOLUZIONE PER INFUSIONE- 1 FLACONCINO 250 ML	SODIO CLORURO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO ACETATO/SODIO ACETATO TRIIDRATO/SODIO GLUCONATO/GLUCOSIO	GLUCOSIO|MAGNESIO CLORURO ESAIDRATO|POTASSIO ACETATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CLORURO|SODIO GLUCONATO	||||||	||||||	Soluzione per infusione	B05BB02	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031402047	031402	ELETTROLITICA DI REINTEGRAZIONE CON POTASSIO, GLUCOSIO E SODIO GLUCONATO MONICO	SOLUZIONE PER INFUSIONE- 1 FLACONCINO 500 ML	SODIO CLORURO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO ACETATO/SODIO ACETATO TRIIDRATO/SODIO GLUCONATO/GLUCOSIO	GLUCOSIO|MAGNESIO CLORURO ESAIDRATO|POTASSIO ACETATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CLORURO|SODIO GLUCONATO	||||||	||||||	Soluzione per infusione	B05BB02	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031402050	031402	ELETTROLITICA DI REINTEGRAZIONE CON POTASSIO, GLUCOSIO E SODIO GLUCONATO MONICO	SOLUZIONE PER INFUSIONE- 1 FLACONCINO 1000 ML	SODIO CLORURO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO ACETATO/SODIO ACETATO TRIIDRATO/SODIO GLUCONATO/GLUCOSIO	GLUCOSIO|MAGNESIO CLORURO ESAIDRATO|POTASSIO ACETATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CLORURO|SODIO GLUCONATO	||||||	||||||	Soluzione per infusione	B05BB02	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031402062	031402	ELETTROLITICA DI REINTEGRAZIONE CON POTASSIO, GLUCOSIO E SODIO GLUCONATO MONICO	SOLUZIONE PER INFUSIONE- 50 ML IN SACCA 100 ML	SODIO CLORURO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO ACETATO/SODIO ACETATO TRIIDRATO/SODIO GLUCONATO/GLUCOSIO	GLUCOSIO|MAGNESIO CLORURO ESAIDRATO|POTASSIO ACETATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CLORURO|SODIO GLUCONATO	||||||	||||||	Soluzione per infusione	B05BB02	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031402074	031402	ELETTROLITICA DI REINTEGRAZIONE CON POTASSIO, GLUCOSIO E SODIO GLUCONATO MONICO	SOLUZIONE PER INFUSIONE- 100 ML IN SACCA 250 ML	SODIO CLORURO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO ACETATO/SODIO ACETATO TRIIDRATO/SODIO GLUCONATO/GLUCOSIO	GLUCOSIO|MAGNESIO CLORURO ESAIDRATO|POTASSIO ACETATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CLORURO|SODIO GLUCONATO	||||||	||||||	Soluzione per infusione	B05BB02	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031402086	031402	ELETTROLITICA DI REINTEGRAZIONE CON POTASSIO, GLUCOSIO E SODIO GLUCONATO MONICO	SOLUZIONE PER INFUSIONE- 250 ML IN SACCA 500 ML	SODIO CLORURO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO ACETATO/SODIO ACETATO TRIIDRATO/SODIO GLUCONATO/GLUCOSIO	GLUCOSIO|MAGNESIO CLORURO ESAIDRATO|POTASSIO ACETATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CLORURO|SODIO GLUCONATO	||||||	||||||	Soluzione per infusione	B05BB02	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031402112	031402	ELETTROLITICA DI REINTEGRAZIONE CON POTASSIO, GLUCOSIO E SODIO GLUCONATO MONICO	SOLUZIONE PER INFUSIONE- 1 SACCA 100 ML	SODIO CLORURO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO ACETATO/SODIO ACETATO TRIIDRATO/SODIO GLUCONATO/GLUCOSIO	GLUCOSIO|MAGNESIO CLORURO ESAIDRATO|POTASSIO ACETATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CLORURO|SODIO GLUCONATO	||||||	||||||	Soluzione per infusione	B05BB02	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031402124	031402	ELETTROLITICA DI REINTEGRAZIONE CON POTASSIO, GLUCOSIO E SODIO GLUCONATO MONICO	SOLUZIONE PER INFUSIONE- 1 SACCA 250 ML	SODIO CLORURO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO ACETATO/SODIO ACETATO TRIIDRATO/SODIO GLUCONATO/GLUCOSIO	GLUCOSIO|MAGNESIO CLORURO ESAIDRATO|POTASSIO ACETATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CLORURO|SODIO GLUCONATO	||||||	||||||	Soluzione per infusione	B05BB02	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
