codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
030861013	030861	ELETTROLITICA REIDRATANTE MONICO	SOLUZIONE PER INFUSIONE I- 1 FLACONCINO 50 ML	SODIO LATTATO AL 60%/SODIO CLORURO/POTASSIO CLORURO/CALCIO CLORURO DIIDRATO/MAGNESIO CLORURO ESAIDRATO/SODIO ACETATO TRIIDRATO/SODIO CITRATO	CALCIO CLORURO DIIDRATO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CITRATO|SODIO CLORURO|SODIO LATTATO AL 60%	||||||	||||||	Soluzione per infusione	B05BB01	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
030861025	030861	ELETTROLITICA REIDRATANTE MONICO	SOLUZIONE PER INFUSIONE I- 1 FLACONCINO 100 ML	SODIO LATTATO AL 60%/SODIO CLORURO/POTASSIO CLORURO/CALCIO CLORURO DIIDRATO/MAGNESIO CLORURO ESAIDRATO/SODIO ACETATO TRIIDRATO/SODIO CITRATO	CALCIO CLORURO DIIDRATO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CITRATO|SODIO CLORURO|SODIO LATTATO AL 60%	||||||	||||||	Soluzione per infusione	B05BB01	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
030861037	030861	ELETTROLITICA REIDRATANTE MONICO	SOLUZIONE PER INFUSIONE I- 1 FLACONCINO 250 ML	SODIO LATTATO AL 60%/SODIO CLORURO/POTASSIO CLORURO/CALCIO CLORURO DIIDRATO/MAGNESIO CLORURO ESAIDRATO/SODIO ACETATO TRIIDRATO/SODIO CITRATO	CALCIO CLORURO DIIDRATO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CITRATO|SODIO CLORURO|SODIO LATTATO AL 60%	||||||	||||||	Soluzione per infusione	B05BB01	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
030861049	030861	ELETTROLITICA REIDRATANTE MONICO	SOLUZIONE PER INFUSIONE I- 1 FLACONCINO 500 ML	SODIO LATTATO AL 60%/SODIO CLORURO/POTASSIO CLORURO/CALCIO CLORURO DIIDRATO/MAGNESIO CLORURO ESAIDRATO/SODIO ACETATO TRIIDRATO/SODIO CITRATO	CALCIO CLORURO DIIDRATO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CITRATO|SODIO CLORURO|SODIO LATTATO AL 60%	||||||	||||||	Soluzione per infusione	B05BB01	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
030861052	030861	ELETTROLITICA REIDRATANTE MONICO	SOLUZIONE PER INFUSIONE I- 1 FLACONCINO 1000 ML	SODIO LATTATO AL 60%/SODIO CLORURO/POTASSIO CLORURO/CALCIO CLORURO DIIDRATO/MAGNESIO CLORURO ESAIDRATO/SODIO ACETATO TRIIDRATO/SODIO CITRATO	CALCIO CLORURO DIIDRATO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CITRATO|SODIO CLORURO|SODIO LATTATO AL 60%	||||||	||||||	Soluzione per infusione	B05BB01	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
030861064	030861	ELETTROLITICA REIDRATANTE MONICO	SOLUZIONE PER INFUSIONE III- 1 FLACONCINO 50 ML	SODIO LATTATO AL 60%/SODIO CLORURO/POTASSIO CLORURO/CALCIO CLORURO DIIDRATO/MAGNESIO CLORURO ESAIDRATO/SODIO ACETATO TRIIDRATO/SODIO CITRATO	CALCIO CLORURO DIIDRATO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CITRATO|SODIO CLORURO|SODIO LATTATO AL 60%	||||||	||||||	Soluzione per infusione	B05BB01	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
030861076	030861	ELETTROLITICA REIDRATANTE MONICO	SOLUZIONE PER INFUSIONE III- 1 FLACONCINO 100 ML	SODIO LATTATO AL 60%/SODIO CLORURO/POTASSIO CLORURO/CALCIO CLORURO DIIDRATO/MAGNESIO CLORURO ESAIDRATO/SODIO ACETATO TRIIDRATO/SODIO CITRATO	CALCIO CLORURO DIIDRATO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CITRATO|SODIO CLORURO|SODIO LATTATO AL 60%	||||||	||||||	Soluzione per infusione	B05BB01	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
030861088	030861	ELETTROLITICA REIDRATANTE MONICO	SOLUZIONE PER INFUSIONE III- 1 FLACONCINO 250 ML	SODIO LATTATO AL 60%/SODIO CLORURO/POTASSIO CLORURO/CALCIO CLORURO DIIDRATO/MAGNESIO CLORURO ESAIDRATO/SODIO ACETATO TRIIDRATO/SODIO CITRATO	CALCIO CLORURO DIIDRATO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CITRATO|SODIO CLORURO|SODIO LATTATO AL 60%	||||||	||||||	Soluzione per infusione	B05BB01	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
030861090	030861	ELETTROLITICA REIDRATANTE MONICO	SOLUZIONE PER INFUSIONE III- 1 FLACONCINO 500 ML	SODIO LATTATO AL 60%/SODIO CLORURO/POTASSIO CLORURO/CALCIO CLORURO DIIDRATO/MAGNESIO CLORURO ESAIDRATO/SODIO ACETATO TRIIDRATO/SODIO CITRATO	CALCIO CLORURO DIIDRATO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CITRATO|SODIO CLORURO|SODIO LATTATO AL 60%	||||||	||||||	Soluzione per infusione	B05BB01	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
030861102	030861	ELETTROLITICA REIDRATANTE MONICO	SOLUZIONE PER INFUSIONE III- 1 FLACONCINO 1000 ML	SODIO LATTATO AL 60%/SODIO CLORURO/POTASSIO CLORURO/CALCIO CLORURO DIIDRATO/MAGNESIO CLORURO ESAIDRATO/SODIO ACETATO TRIIDRATO/SODIO CITRATO	CALCIO CLORURO DIIDRATO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|SODIO ACETATO TRIIDRATO|SODIO CITRATO|SODIO CLORURO|SODIO LATTATO AL 60%	||||||	||||||	Soluzione per infusione	B05BB01	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
