codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
031483035	031483	SOLUZIONE PER EMOFILTRAZIONE GALENICA SENESE	SACCA PLASTICA FLESSIBILE 5000 ML	SOLUZIONE PER EMOFILTRAZIONE	SOLUZIONE PER EMOFILTRAZIONE	5000		Soluzione  per emofiltrazione	B05ZB	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031483047	031483	SOLUZIONE PER EMOFILTRAZIONE GALENICA SENESE	GLUCOSIO 0,9 G/L, CALCIO 2,25 MMOL/L, POTASSIO 1,5 MMOL/L- SACCA 3000 ML	SOLUZIONE PER EMOFILTRAZIONE	SOLUZIONE PER EMOFILTRAZIONE	5000		Soluzione  per emofiltrazione	B05ZB	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031483050	031483	SOLUZIONE PER EMOFILTRAZIONE GALENICA SENESE	CALCIO 2 MMOL/L, POTASSIO 1 MMOL/L- SACCA 3000 ML	SOLUZIONE PER EMOFILTRAZIONE	SOLUZIONE PER EMOFILTRAZIONE	5000		Soluzione  per emofiltrazione	B05ZB	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031483062	031483	SOLUZIONE PER EMOFILTRAZIONE GALENICA SENESE	GLUCOSIO 0,9 G/L, CALCIO 2,25 MMOL/L, POTASSIO 1,5 MMOL/L- SACCA 5000 ML	SOLUZIONE PER EMOFILTRAZIONE	SOLUZIONE PER EMOFILTRAZIONE	5000		Soluzione  per emofiltrazione	B05ZB	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031483074	031483	SOLUZIONE PER EMOFILTRAZIONE GALENICA SENESE	GLUCOSIO 0,9 G/L, CALCIO 2 MMOL/L, POTASSIO 2 MMOL/L- SACCA 5000 ML	SOLUZIONE PER EMOFILTRAZIONE	SOLUZIONE PER EMOFILTRAZIONE	5000	millilitre	Soluzione  per emofiltrazione	B05ZB	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031483086	031483	SOLUZIONE PER EMOFILTRAZIONE GALENICA SENESE	CALCIO 2 MMOL/L, POTASSIO 2 MMOL/L- SACCA 5000 ML	SOLUZIONE PER EMOFILTRAZIONE	SOLUZIONE PER EMOFILTRAZIONE	5000		Soluzione  per emofiltrazione	B05ZB	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031483098	031483	SOLUZIONE PER EMOFILTRAZIONE GALENICA SENESE	CALCIO 2 MMOL/L, POTASSIO 1 MMOL/L- SACCA 5000 ML	SOLUZIONE PER EMOFILTRAZIONE	SOLUZIONE PER EMOFILTRAZIONE	5000		Soluzione  per emofiltrazione	B05ZB	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031483100	031483	SOLUZIONE PER EMOFILTRAZIONE GALENICA SENESE	GLUCOSIO 0,9 MMOL/L, CALCIO 2,25 MMOL/L, POTASSIO 2 MMOL/L- SACCA 5000 ML	SOLUZIONE PER EMOFILTRAZIONE	SOLUZIONE PER EMOFILTRAZIONE	5000		Soluzione  per emofiltrazione	B05ZB	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031483112	031483	SOLUZIONE PER EMOFILTRAZIONE GALENICA SENESE	GLUCOSIO 1,8 G/L, CALCIO 2,25 MMOL/L, POTASSIO 1,5 MMOL/L- SACCA 5000 ML	SOLUZIONE PER EMOFILTRAZIONE	SOLUZIONE PER EMOFILTRAZIONE	5000		Soluzione  per emofiltrazione	B05ZB	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031483124	031483	SOLUZIONE PER EMOFILTRAZIONE GALENICA SENESE	GLUCOSIO 0,9 G/L, CALCIO 2 MMOL/L, POTASSIO 2 MMOL/L- SACCA 5000 ML	SOLUZIONE PER EMOFILTRAZIONE	SOLUZIONE PER EMOFILTRAZIONE	5000		Soluzione  per emofiltrazione	B05ZB	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031483136	031483	SOLUZIONE PER EMOFILTRAZIONE GALENICA SENESE	CALCIO 2 MMOL/L, POTASSIO 1,5 MMOL/L- SACCA 5000 ML	SOLUZIONE PER EMOFILTRAZIONE	SOLUZIONE PER EMOFILTRAZIONE	5000		Soluzione  per emofiltrazione	B05ZB	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
031483148	031483	SOLUZIONE PER EMOFILTRAZIONE GALENICA SENESE	GLUCOSIO 0,9 G/L, CALCIO 1,9 MMOL/L, POTASSIO 1,5 MMOL/L- SACCA 5000 ML	SOLUZIONE PER EMOFILTRAZIONE	SOLUZIONE PER EMOFILTRAZIONE	5000		Soluzione  per emofiltrazione	B05ZB	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
