codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
038801015	038801	BRIDION	100 MG/ML SOLUZIONE INIETTABILE - USO ENDOVENOSO - FLACONCINO (VETRO), TAPPO DI GOMMA E CAPSULA DI CHIUSURA A STRAPPO- 2 ML(100MG/ML)- 10 X 2 ML	SUGAMMADEX	SUGAMMADEX	100	milligram(s)/millilitre	Soluzione iniettabile	V03AB35	MERCK SHARP & DOHME B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
038801027	038801	BRIDION	100 MG/ML SOLUZIONE INIETTABILE - USO ENDOVENOSO - FLACONCINO (VETRO) TAPPO DI GOMMA E CAPSULA DI CHIUSURA A STRAPPO-5 ML (100MG/ML)- 10 X 5 ML	SUGAMMADEX	SUGAMMADEX	100	milligram(s)/millilitre	Soluzione iniettabile	V03AB35	MERCK SHARP & DOHME B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
049366014	049366	SUGAMMADEX SANDOZ	100 MG/ML SOLUZIONE INIETTABILE- 10 FLACONCINI IN VETRO DA 2 ML	SUGAMMADEX	SUGAMMADEX	100	milligram(s)/millilitre	Soluzione iniettabile	V03AB35	SANDOZ S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
049366026	049366	SUGAMMADEX SANDOZ	100 MG/ML SOLUZIONE INIETTABILE- 10 FLACONCINI IN VETRO DA 5 ML	SUGAMMADEX	SUGAMMADEX			Soluzione iniettabile	V03AB35	SANDOZ S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
049366038	049366	SUGAMMADEX SANDOZ	100 MG/ML SOLUZIONE INIETTABILE- 1 FLACONCINO IN VETRO DA 5 ML	SUGAMMADEX	SUGAMMADEX			Soluzione iniettabile	V03AB35	SANDOZ S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
049608019	049608	SUGAMMADEX DR. REDDY'S	100 MG/ML SOLUZIONE INIETTABILE- 1 FLACONCINO IN VETRO DA 2 ML	SUGAMMADEX	SUGAMMADEX	100	milligram(s)/millilitre	Soluzione iniettabile	V03AB35	DR. REDDY'S S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
049608021	049608	SUGAMMADEX DR. REDDY'S	100 MG/ML SOLUZIONE INIETTABILE- 10 FLACONCINI IN VETRO DA 2 ML	SUGAMMADEX	SUGAMMADEX	100	milligram(s)/millilitre	Soluzione iniettabile	V03AB35	DR. REDDY'S S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
049608033	049608	SUGAMMADEX DR. REDDY'S	100 MG/ML SOLUZIONE INIETTABILE- 1 FLACONCINI IN VETRO DA 5 ML	SUGAMMADEX	SUGAMMADEX	100	milligram(s)/millilitre	Soluzione iniettabile	V03AB35	DR. REDDY'S S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
049608045	049608	SUGAMMADEX DR. REDDY'S	100 MG/ML SOLUZIONE INIETTABILE- 10 FLACONCINI IN VETRO DA 5 ML	SUGAMMADEX	SUGAMMADEX	100	milligram(s)/millilitre	Soluzione iniettabile	V03AB35	DR. REDDY'S S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
049671011	049671	SUGAMMADEX ZENTIVA	100 MG/ML SOLUZIONE INIETTABILE- 10 FLACONCINI DA 2 ML	SUGAMMADEX	SUGAMMADEX			Soluzione iniettabile	V03AB35	ZENTIVA ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
