codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
035926017	035926	FORSTEO	20 MCG/80 MCL SOLUZIONE INIETTABILE IN PENNA PREMPITA 2,4 ML 1 PENNA USO SOTTOCUTANEO	TERIPARATIDE	TERIPARATIDE	750	microgrammi	Soluzione iniettabile	H05AA02	ELI LILLY NEDERLAND B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
035926029	035926	FORSTEO	20 MCG/80 MCL SOLUZIONE INIETTABILE IN PENNA PREMPITA 2,4 ML 3 PENNE USO SOTTOCUTANEO	TERIPARATIDE	TERIPARATIDE	750	microgrammi	Soluzione iniettabile	H05AA02	ELI LILLY NEDERLAND B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
044450017	044450	TERIPARATIDE TEVA	20 MICROGRAMMI/80 MICROLITRI SOLUZIONE INIETTABILE IN PENNA PRERIEMPITA- 1 PENNA PRERIEMPITA	TERIPARATIDE	TERIPARATIDE	250	microgram(s)/millilitre	Soluzione iniettabile	H05AA02	TEVA ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
044450029	044450	TERIPARATIDE TEVA	20 MICROGRAMMI/80 MICROLITRI SOLUZIONE INIETTABILE IN PENNA PRERIEMPITA- 3 PENNE PRERIEMPITE	TERIPARATIDE	TERIPARATIDE	250	microgram(s)/millilitre	Soluzione iniettabile	H05AA02	TEVA ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
044450031	044450	TERIPARATIDE TEVA	20 MICROGRAMMI/80 MICROLITRI SOLUZIONE INIETTABILE IN PENNA PRERIEMPITA- 3X1 PENNE PRERIEMPITE	TERIPARATIDE	TERIPARATIDE	250	microgram(s)/millilitre	Soluzione iniettabile	H05AA02	TEVA ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045256017	045256	MOVYMIA	20 MICROGRAMMI/80 MICROLITRI - SOLUZIONE PER INIEZIONE - USO SOTTOCUTANEO - CARTUCCIA (VETRO) - 2,4 ML - 1 CARTUCCIA	TERIPARATIDE	TERIPARATIDE	250	microgram(s)/millilitre	Soluzione iniettabile	H05AA02	STADA ARZNEIMITTEL AG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045256029	045256	MOVYMIA	20 MICROGRAMMI/80 MICROLITRI - SOLUZIONE PER INIEZIONE - USO SOTTOCUTANEO - CARTUCCIA (VETRO) - 2,4 ML - 3 CARTUCCE	TERIPARATIDE	TERIPARATIDE	250	microgram(s)/millilitre	Soluzione iniettabile	H05AA02	STADA ARZNEIMITTEL AG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045256031	045256	MOVYMIA	20 MICROGRAMMI/80 MICROGRAMMI - USO SOTTOCUTANEO - CARTUCCIA (VETRO) 2,4 ML - 1 CARTUCCIA + 1 PENNA	TERIPARATIDE	TERIPARATIDE	250	microgram(s)/millilitre	Soluzione iniettabile	H05AA02	STADA ARZNEIMITTEL AG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045257019	045257	TERROSA	20 MICROGRAMMI/80 MICROLITRI - SOLUZIONE PER INIEZIONE - USO SOTTOCUTANEO - CARTUCCIA (VETRO) - 2,4 ML - 1 CARTUCCIA	TERIPARATIDE	TERIPARATIDE			Soluzione iniettabile in cartuccia	H05AA02	GEDEON RICHTER PLC	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045257021	045257	TERROSA	20 MICROGRAMMI/80 MICROLITRI - SOLUZIONE PER INIEZIONE - USO SOTTOCUTANEO - CARTUCCIA (VETRO) - 2,4 ML - 3 CARTUCCE	TERIPARATIDE	TERIPARATIDE			Soluzione iniettabile in cartuccia	H05AA02	GEDEON RICHTER PLC	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
