codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
040546018	040546	BRILIQUE	90 MG - COMPRESSE RIVESTITE CON FILM - USO ORALE - BLISTER(PVC/PVDC/ALU)- 60 COMPRESSE	TICAGRELOR	TICAGRELOR	90	milligrammi	Compressa rivestita con film	B01AC24	ASTRAZENECA AB	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
040546020	040546	BRILIQUE	90 MG - COMPRESSE RIVESTITE CON FILM - USO ORALE - BLISTER(PVC/PVDC/ALU)- 180 COMPRESSE	TICAGRELOR	TICAGRELOR	90	milligrammi	Compressa rivestita con film	B01AC24	ASTRAZENECA AB	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
040546032	040546	BRILIQUE	90 MG - COMPRESSE RIVESTITE CON FILM - USO ORALE - BLISTER(PVC/PVDC/ALU)- 14 COMPRESSE (CONF. CALENDARIZZATA)	TICAGRELOR	TICAGRELOR	90	milligrammi	Compressa rivestita con film	B01AC24	ASTRAZENECA AB	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
040546044	040546	BRILIQUE	90 MG - COMPRESSE RIVESTITE CON FILM - USO ORALE - BLISTER(PVC/PVDC/ALU)- 56 COMPRESSE (CONF. CALENDARIZZATA)	TICAGRELOR	TICAGRELOR	90	milligrammi	Compressa rivestita con film	B01AC24	ASTRAZENECA AB	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
040546057	040546	BRILIQUE	90 MG - COMPRESSE RIVESTITE CON FILM - USO ORALE - BLISTER(PVC/PVDC/ALU)- 168 COMPRESSE (CONF. CALENDARIZZATA)	TICAGRELOR	TICAGRELOR	90	milligrammi	Compressa rivestita con film	B01AC24	ASTRAZENECA AB	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
040546069	040546	BRILIQUE	90 MG - COMPRESSE RIVESTITE CON FILM - USO ORALE - BLISTER MONODOSE(PVC/PVDC/ALU)- 100 X 1 COMPRESSE	TICAGRELOR	TICAGRELOR	90	milligrammi	Compressa rivestita con film	B01AC24	ASTRAZENECA AB	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
040546071	040546	BRILIQUE	60 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 14 COMPRESSE (CONFEZIONE CALENDARIZZATA)	TICAGRELOR	TICAGRELOR	60	milligrammi	Compressa rivestita con film	B01AC24	ASTRAZENECA AB	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
040546083	040546	BRILIQUE	60 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 56 COMPRESSE (CONFEZIONE CALENDARIZZATA)	TICAGRELOR	TICAGRELOR	60	milligrammi	Compressa rivestita con film	B01AC24	ASTRAZENECA AB	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
040546095	040546	BRILIQUE	60 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 60 COMPRESSE	TICAGRELOR	TICAGRELOR	60	milligrammi	Compressa rivestita con film	B01AC24	ASTRAZENECA AB	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
040546107	040546	BRILIQUE	60 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 168 COMPRESSE (CONFEZIONE CALENDARIZZATA)	TICAGRELOR	TICAGRELOR	60	milligrammi	Compressa rivestita con film	B01AC24	ASTRAZENECA AB	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
