codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
039551015	039551	SAMSCA	15 MG - COMPRESSA- USO ORALE - BLISTER (PVC/ALU)-  - 10  X 1 COMPRESSE (DOSE UNITARIA)	TOLVAPTAN	TOLVAPTAN	15	milligrammi	Compressa	C03XA01	OTSUKA PHARMACEUTICAL NETHERLANDS BV	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
039551027	039551	SAMSCA	15 MG - COMPRESSA- USO ORALE - BLISTER (PVC/ALU)- - 30 X 1 COMPRESSE (DOSE UNITARIA)	TOLVAPTAN	TOLVAPTAN	15	milligrammi	Compressa	C03XA01	OTSUKA PHARMACEUTICAL NETHERLANDS BV	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
039551039	039551	SAMSCA	30 MG - COMPRESSA- USO ORALE - BLISTER(PVC/ALU)- 10  X 1 COMPRESSE (DOSE UNITARIA)	TOLVAPTAN	TOLVAPTAN	30	milligrammi	Compressa	C03XA01	OTSUKA PHARMACEUTICAL NETHERLANDS BV	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
039551041	039551	SAMSCA	30 MG - COMPRESSA- USO ORALE - BLISTER(PVC/ALU)- 30 X 1   COMPRESSE (DOSE UNITARIA)	TOLVAPTAN	TOLVAPTAN	30	milligrammi	Compressa	C03XA01	OTSUKA PHARMACEUTICAL NETHERLANDS BV	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
039551054	039551	SAMSCA	7,5 MG - COMPRESSA - USO ORALE - BLISTER (PP/ALU) - 10 COMPRESSE	TOLVAPTAN	TOLVAPTAN	7.5	milligrammi	Compressa	C03XA01	OTSUKA PHARMACEUTICAL NETHERLANDS BV	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
039551066	039551	SAMSCA	7,5 MG - COMPRESSA - USO ORALE - BLISTER (PP/ALU) - 30 COMPRESSE	TOLVAPTAN	TOLVAPTAN	7.5	milligrammi	Compressa	C03XA01	OTSUKA PHARMACEUTICAL NETHERLANDS BV	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
039551078	039551	SAMSCA	7,5 MG - COMPRESSA - USO ORALE - BLISTER (PVC/ALU) - 10 X 1 COMPRESSE (DOSE UNITARIA)	TOLVAPTAN	TOLVAPTAN	7.5	milligrammi	Compressa	C03XA01	OTSUKA PHARMACEUTICAL NETHERLANDS BV	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
039551080	039551	SAMSCA	7,5 MG - COMPRESSA - USO ORALE - BLISTER (PVC/ALU) - 30 X 1 COMPRESSE (DOSE UNITARIA)	TOLVAPTAN	TOLVAPTAN	7.5	milligrammi	Compressa	C03XA01	OTSUKA PHARMACEUTICAL NETHERLANDS BV	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
044202012	044202	JINARC	15 MG - COMPRESSA - USO ORALE - BLISTER (ALU/PVC) - 7 COMPRESSE	TOLVAPTAN	TOLVAPTAN	15	milligrammi	Compressa	C03XA01	OTSUKA PHARMACEUTICAL NETHERLANDS BV	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
044202024	044202	JINARC	15 MG - COMPRESSA - USO ORALE - BLISTER (ALU/PVC) - 28 COMPRESSE	TOLVAPTAN	TOLVAPTAN	15	milligrammi	Compressa	C03XA01	OTSUKA PHARMACEUTICAL NETHERLANDS BV	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
