codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
037311014	037311	GARDASIL	0,5 ML SOSPENSIONE INIETTABILE USO INTRAMUSCOLARE- 1 FLACONCINO	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	0.5	millilitre	Sospensione iniettabile	J07BM01	MERCK SHARP & DOHME B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037311026	037311	GARDASIL	0,5 ML SOSPENSIONE INIETTABILE USO INTRAMUSCOLARE- 10 FLACONCINI	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	0.5	millilitre	Sospensione iniettabile	J07BM01	MERCK SHARP & DOHME B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037311038	037311	GARDASIL	0,5 ML SOSPENSIONE INIETTABILE USO INTRAMUSCOLARE- 1 SIRINGA PRERIEMPITA (VETRO)	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	0.5	millilitre	Sospensione iniettabile in siringa pre-riempita	J07BM01	MERCK SHARP & DOHME B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037311040	037311	GARDASIL	0,5 ML SOSPENSIONE INIETTABILE USO INTRAMUSCOLARE- 10 SIRINGHE  PRERIEMPITE (VETRO)	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	0.5	millilitre	Sospensione iniettabile in siringa pre-riempita	J07BM01	MERCK SHARP & DOHME B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037311053	037311	GARDASIL	0,5 ML SOSPENSIONE INIETTABILE USO INTRAMUSCOLARE- 1 SIRINGA  PRERIEMPITA (VETRO)+ 1 AGO	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	0.5	millilitre	Sospensione iniettabile	J07BM01	MERCK SHARP & DOHME B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037311065	037311	GARDASIL	0,5 ML SOSPENSIONE INIETTABILE USO INTRAMUSCOLARE- 10 SIRINGHE   PRERIEMPITE  (VETRO)+ 10 AGHI	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	0.5	millilitre	Sospensione iniettabile	J07BM01	MERCK SHARP & DOHME B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037311077	037311	GARDASIL	0,5 ML SOSPENSIONE INIETTABILE USO INTRAMUSCOLARE- 1 SIRINGA   PRERIEMPITA (VETRO)+ 2 AGHI	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	0.5	millilitre	Sospensione iniettabile	J07BM01	MERCK SHARP & DOHME B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037311089	037311	GARDASIL	0,5 ML SOSPENSIONE INIETTABILE USO INTRAMUSCOLARE- 10 SIRINGHE   PRERIEMPITE  (VETRO)+ 20 AGHI	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	0.5	millilitre	Sospensione iniettabile	J07BM01	MERCK SHARP & DOHME B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037311180	037311	GARDASIL	SOSPENSIONE INIETTABILE - USO INTRAMUSCOLARE - FLACONCINO (VETRO) - 0,5 ML- 20 FLACONCINI	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	0.5	millilitre	Sospensione iniettabile	J07BM01	MERCK SHARP & DOHME B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037311192	037311	GARDASIL	SOSPENSIONE INIETTABILE - USO INTRAMUSCOLARE - SIRINGA PRERIEMPITA (VETRO) - 0,5 ML- 20 SIRINGHE PRERIEMPITE	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)	0.5	millilitre	Sospensione iniettabile	J07BM01	MERCK SHARP & DOHME B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
