codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
026695015	026695	STILNOX	10 mg compresse rivestite  con  film- 30 compresse in blister PVC/PVC-Al	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO			Compressa rivestita	N05CF02	SANOFI S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
026695027	026695	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 20 compresse in blister PVC/PVC-Al	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO			Compressa rivestita	N05CF02	SANOFI S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
026695041	026695	STILNOX	10 mg compresse rivestite con film- 14 compresse	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO			Compressa rivestita	N05CF02	SANOFI S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
026695054	026695	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/PVC-AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO			Compressa rivestita	N05CF02	SANOFI S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
037958129	037958	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita con film	N05CF02	BB FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
037958131	037958	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita con film	N05CF02	BB FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
037958143	037958	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	BB FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
037958156	037958	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	BB FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
037958168	037958	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	BB FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
037958170	037958	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	BB FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
037958182	037958	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	BB FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
037958194	037958	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	BB FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
038194104	038194	STILNOX	10 mg compresse rivestite  con  film- 30 compresse in blister PVC/PVC-Al	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita con film	N05CF02	PROGRAMMI SANITARI INTEGRATI S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
038194116	038194	STILNOX	10 mg compresse rivestite con film- 14 compresse	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita con film	N05CF02	PROGRAMMI SANITARI INTEGRATI S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
038194128	038194	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita con film	N05CF02	PROGRAMMI SANITARI INTEGRATI S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
038194130	038194	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita con film	N05CF02	PROGRAMMI SANITARI INTEGRATI S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
038288080	038288	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	FARMA 1000 S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
038288092	038288	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	FARMA 1000 S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
041252089	041252	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita con film	N05CF02	GEKOFAR S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
044425116	044425	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	GMM FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
044425128	044425	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/PVC-AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	GMM FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
044425130	044425	STILNOX	10 mg compresse rivestite con film- 28 compresse in blister PVC/Al	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	GMM FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
044425142	044425	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	GMM FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
044425155	044425	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	GMM FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
047112053	047112	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC-AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	FARMED S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
047112065	047112	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	FARMED S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
047112077	047112	STILNOX	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	ZOLPIDEM TARTRATO/ZOLPIDEM TARTRATO	ZOLPIDEM TARTRATO	10	milligrammi	Compressa rivestita	N05CF02	FARMED S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
