product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/10/659/001	Iasibon	EU/1/10/659/001	21-JAN-11	EMEA/H/C/002025	50 mg	Film-coated tablet	50 mg	Carton box, PA/Al/PVC/Al blister, N28	28
EU/1/10/659/002	Iasibon	EU/1/10/659/002	21-JAN-11	EMEA/H/C/002025	50 mg	Film-coated tablet	50 mg	Carton box, PA/Al/PVC/Al blister, N84	84
EU/1/10/659/003	Iasibon	EU/1/10/659/003	21-JAN-11	EMEA/H/C/002025	1 mg	Concentrate for solution for infusion	1 mg/1 ml	Glass ampoule, N1	1
EU/1/10/659/004	Iasibon	EU/1/10/659/004	21-JAN-11	EMEA/H/C/002025	2 mg	Concentrate for solution for infusion	2 mg/2 ml	Glass ampoule, N1	1
EU/1/10/659/005	Iasibon	EU/1/10/659/005	21-JAN-11	EMEA/H/C/002025	6 mg	Concentrate for solution for infusion	6 mg/6 ml	Glass vial, N1	1
EU/1/10/659/006	Iasibon	EU/1/10/659/006	21-JAN-11	EMEA/H/C/002025	6 mg	Concentrate for solution for infusion	6 mg/6 ml	Glass vial, N5	5
EU/1/10/659/007	Iasibon	EU/1/10/659/007	21-JAN-11	EMEA/H/C/002025	6 mg	Concentrate for solution for infusion	6 mg/6 ml	Glass vial, N10	10
EU/1/10/659/008	Iasibon	EU/1/10/659/008	21-JAN-11	EMEA/H/C/002025	50 mg	Film-coated tablet	50 mg	Carton box, PA/Al/PVC/Al blister, N3	3
EU/1/10/659/009	Iasibon	EU/1/10/659/009	21-JAN-11	EMEA/H/C/002025	50 mg	Film-coated tablet	50 mg	Carton box, PA/Al/PVC/Al blister, N6	6
EU/1/10/659/010	Iasibon	EU/1/10/659/010	21-JAN-11	EMEA/H/C/002025	50 mg	Film-coated tablet	50 mg	Carton box, PA/Al/PVC/Al blister, N9	9
