product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/15/1031/001	46275488	1 ML alirocumab 75 MG/ML Auto-Injector [Praluent]	1659183	EXACT			2026-04-01
EU/1/15/1031/002	46275488	1 ML alirocumab 75 MG/ML Auto-Injector [Praluent]	1659183	EXACT			2026-04-01
EU/1/15/1031/003	46275488	1 ML alirocumab 75 MG/ML Auto-Injector [Praluent]	1659183	EXACT			2026-04-01
EU/1/15/1031/004	46275484	1 ML alirocumab 75 MG/ML Prefilled Syringe [Praluent]	1659179	EXACT			2026-04-01
EU/1/15/1031/005	46275484	1 ML alirocumab 75 MG/ML Prefilled Syringe [Praluent]	1659179	EXACT			2026-04-01
EU/1/15/1031/006	46275484	1 ML alirocumab 75 MG/ML Prefilled Syringe [Praluent]	1659179	EXACT			2026-04-01
EU/1/15/1031/007	46275466	1 ML alirocumab 150 MG/ML Auto-Injector [Praluent]	1659161	EXACT			2026-04-01
EU/1/15/1031/008	46275466	1 ML alirocumab 150 MG/ML Auto-Injector [Praluent]	1659161	EXACT			2026-04-01
EU/1/15/1031/009	46275466	1 ML alirocumab 150 MG/ML Auto-Injector [Praluent]	1659161	EXACT			2026-04-01
EU/1/15/1031/010	46275472	1 ML alirocumab 150 MG/ML Prefilled Syringe [Praluent]	1659167	EXACT			2026-04-01
EU/1/15/1031/011	46275472	1 ML alirocumab 150 MG/ML Prefilled Syringe [Praluent]	1659167	EXACT			2026-04-01
EU/1/15/1031/012	46275472	1 ML alirocumab 150 MG/ML Prefilled Syringe [Praluent]	1659167	EXACT			2026-04-01
EU/1/15/1031/013	46275488	1 ML alirocumab 75 MG/ML Auto-Injector [Praluent]	1659183	EXACT			2026-04-01
EU/1/15/1031/014	46275488	1 ML alirocumab 75 MG/ML Auto-Injector [Praluent]	1659183	EXACT			2026-04-01
EU/1/15/1031/015	46275488	1 ML alirocumab 75 MG/ML Auto-Injector [Praluent]	1659183	EXACT			2026-04-01
EU/1/15/1031/016	46275466	1 ML alirocumab 150 MG/ML Auto-Injector [Praluent]	1659161	EXACT			2026-04-01
EU/1/15/1031/017	46275466	1 ML alirocumab 150 MG/ML Auto-Injector [Praluent]	1659161	EXACT			2026-04-01
EU/1/15/1031/018	46275466	1 ML alirocumab 150 MG/ML Auto-Injector [Praluent]	1659161	EXACT			2026-04-01
EU/1/15/1031/019	1972940	2 ML alirocumab 150 MG/ML Auto-Injector [Praluent]	OMOP5165503	EXACT			2026-04-01
EU/1/15/1031/020	1972940	2 ML alirocumab 150 MG/ML Auto-Injector [Praluent]	OMOP5165503	EXACT			2026-04-01
