product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
99-0796-01	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, Glass bottle, N20	20
99-0796-02	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, Polyethylene bottle, N60	60
99-0796-03	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, Glass bottle, N60	60
99-0796-04	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, Glass bottle, N90	90
99-0796-05	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, PVC/Al blister, N10	10
99-0796-06	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, PVC/Al blister, N20	20
99-0796-07	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, PVC/Al blister, N30	30
99-0796-08	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, PVC/Al blister, N50	50
99-0796-09	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, PVC/Al blister, N60	60
99-0796-10	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, PVC/Al blister, N90	90
99-0796-11	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, Polyethylene bottle, N20	20
99-0796-12	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, Polyethylene bottle, N90	90
99-0796-13	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, Polypropylene bottle, N20	20
99-0796-14	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, Polypropylene bottle, N60	60
99-0796-15	Garlic Labofarm 300 mg tablets	99-0796	03-MAY-11	99-0796	300 mg	Tablet	300 mg	Carton box, Polypropylene bottle, N90	90
