product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
24-0167-01	781040	alprazolam 0.25 MG Oral Tablet [Xanax]	141927				
24-0167-02	781040	alprazolam 0.25 MG Oral Tablet [Xanax]	141927				
24-0167-03	781040	alprazolam 0.25 MG Oral Tablet [Xanax]	141927				
24-0167-04	781040	alprazolam 0.25 MG Oral Tablet [Xanax]	141927				
24-0167-05	781040	alprazolam 0.25 MG Oral Tablet [Xanax]	141927				
24-0167-06	781040	alprazolam 0.25 MG Oral Tablet [Xanax]	141927				
24-0168-01	19072934	alprazolam 0.5 MG Oral Tablet	308048				
24-0168-02	19072934	alprazolam 0.5 MG Oral Tablet	308048				
24-0168-03	19072934	alprazolam 0.5 MG Oral Tablet	308048				
24-0168-04	19072934	alprazolam 0.5 MG Oral Tablet	308048				
24-0168-05	19072934	alprazolam 0.5 MG Oral Tablet	308048				
24-0168-06	19072934	alprazolam 0.5 MG Oral Tablet	308048				
24-0169-01	781062	alprazolam 1 MG Oral Tablet	197321				
24-0169-02	781062	alprazolam 1 MG Oral Tablet	197321				
24-0169-03	781062	alprazolam 1 MG Oral Tablet	197321				
24-0169-04	781062	alprazolam 1 MG Oral Tablet	197321				
24-0169-05	781062	alprazolam 1 MG Oral Tablet	197321				
24-0169-06	781062	alprazolam 1 MG Oral Tablet	197321				
