product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
21-0134-01	1337103	ambrisentan 5 MG Oral Tablet	722122				
21-0134-02	1337103	ambrisentan 5 MG Oral Tablet	722122				
21-0134-03	1337103	ambrisentan 5 MG Oral Tablet	722122				
21-0134-04	1337103	ambrisentan 5 MG Oral Tablet	722122				
21-0134-05	1337103	ambrisentan 5 MG Oral Tablet	722122				
21-0134-06	1337103	ambrisentan 5 MG Oral Tablet	722122				
21-0134-07	1337103	ambrisentan 5 MG Oral Tablet	722122				
21-0134-08	1337103	ambrisentan 5 MG Oral Tablet	722122				
21-0135-01	1337070	ambrisentan 10 MG Oral Tablet	722116				
21-0135-02	1337070	ambrisentan 10 MG Oral Tablet	722116				
21-0135-03	1337070	ambrisentan 10 MG Oral Tablet	722116				
21-0135-04	1337070	ambrisentan 10 MG Oral Tablet	722116				
21-0135-05	1337070	ambrisentan 10 MG Oral Tablet	722116				
21-0135-06	1337070	ambrisentan 10 MG Oral Tablet	722116				
21-0135-07	1337070	ambrisentan 10 MG Oral Tablet	722116				
21-0135-08	1337070	ambrisentan 10 MG Oral Tablet	722116				
