product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/04/276/001	Abilify	EU/1/04/276/001	04-JUN-04	EMEA/H/C/000471	5 mg	Tablet	5 mg	Carton box, Al/Al blister, N14	14
EU/1/04/276/002	Abilify	EU/1/04/276/002	04-JUN-04	EMEA/H/C/000471	5 mg	Tablet	5 mg	Carton box, Al/Al blister, N28	28
EU/1/04/276/003	Abilify	EU/1/04/276/003	04-JUN-04	EMEA/H/C/000471	5 mg	Tablet	5 mg	Carton box, Al/Al blister, N49	49
EU/1/04/276/004	Abilify	EU/1/04/276/004	04-JUN-04	EMEA/H/C/000471	5 mg	Tablet	5 mg	Carton box, Al/Al blister, N56	56
EU/1/04/276/005	Abilify	EU/1/04/276/005	04-JUN-04	EMEA/H/C/000471	5 mg	Tablet	5 mg	Carton box, Al/Al blister, N98	98
EU/1/04/276/006	Abilify	EU/1/04/276/006	04-JUN-04	EMEA/H/C/000471	10 mg	Tablet	10 mg	Carton box, Al/Al blister, N14	14
EU/1/04/276/007	Abilify	EU/1/04/276/007	04-JUN-04	EMEA/H/C/000471	10 mg	Tablet	10 mg	Carton box, Al/Al blister, N28	28
EU/1/04/276/008	Abilify	EU/1/04/276/008	04-JUN-04	EMEA/H/C/000471	10 mg	Tablet	10 mg	Carton box, Al/Al blister, N49	49
EU/1/04/276/009	Abilify	EU/1/04/276/009	04-JUN-04	EMEA/H/C/000471	10 mg	Tablet	10 mg	Carton box, Al/Al blister, N56	56
EU/1/04/276/010	Abilify	EU/1/04/276/010	04-JUN-04	EMEA/H/C/000471	10 mg	Tablet	10 mg	Carton box, Al/Al blister, N98	98
EU/1/04/276/011	Abilify	EU/1/04/276/011	04-JUN-04	EMEA/H/C/000471	15 mg	Tablet	15 mg	Carton box, Al/Al blister, N14	14
EU/1/04/276/012	Abilify	EU/1/04/276/012	04-JUN-04	EMEA/H/C/000471	15 mg	Tablet	15 mg	Carton box, Al/Al blister, N28	28
EU/1/04/276/013	Abilify	EU/1/04/276/013	04-JUN-04	EMEA/H/C/000471	15 mg	Tablet	15 mg	Carton box, Al/Al blister, N49	49
EU/1/04/276/014	Abilify	EU/1/04/276/014	04-JUN-04	EMEA/H/C/000471	15 mg	Tablet	15 mg	Carton box, Al/Al blister, N56	56
EU/1/04/276/015	Abilify	EU/1/04/276/015	04-JUN-04	EMEA/H/C/000471	15 mg	Tablet	15 mg	Carton box, Al/Al blister, N98	98
EU/1/04/276/016	Abilify	EU/1/04/276/016	04-JUN-04	EMEA/H/C/000471	30 mg	Tablet	30 mg	Carton box, Al/Al blister, N14	14
EU/1/04/276/017	Abilify	EU/1/04/276/017	04-JUN-04	EMEA/H/C/000471	30 mg	Tablet	30 mg	Carton box, Al/Al blister, N28	28
EU/1/04/276/018	Abilify	EU/1/04/276/018	04-JUN-04	EMEA/H/C/000471	30 mg	Tablet	30 mg	Carton box, Al/Al blister, N49	49
EU/1/04/276/019	Abilify	EU/1/04/276/019	04-JUN-04	EMEA/H/C/000471	30 mg	Tablet	30 mg	Carton box, Al/Al blister, N56	56
EU/1/04/276/020	Abilify	EU/1/04/276/020	04-JUN-04	EMEA/H/C/000471	30 mg	Tablet	30 mg	Carton box, Al/Al blister, N98	98
EU/1/04/276/024	Abilify	EU/1/04/276/024	20-JUN-05	EMEA/H/C/000471	10 mg	Orodispersible tablet	10 mg	Carton box, Al/Al blister, N14	14
EU/1/04/276/025	Abilify	EU/1/04/276/025	20-JUN-05	EMEA/H/C/000471	10 mg	Orodispersible tablet	10 mg	Carton box, Al/Al blister, N28	28
EU/1/04/276/026	Abilify	EU/1/04/276/026	20-JUN-05	EMEA/H/C/000471	10 mg	Orodispersible tablet	10 mg	Carton box, Al/Al blister, N49	49
EU/1/04/276/027	Abilify	EU/1/04/276/027	20-JUN-05	EMEA/H/C/000471	15 mg	Orodispersible tablet	15 mg	Carton box, Al/Al blister, N14	14
EU/1/04/276/028	Abilify	EU/1/04/276/028	20-JUN-05	EMEA/H/C/000471	15 mg	Orodispersible tablet	15 mg	Carton box, Al/Al blister, N28	28
EU/1/04/276/029	Abilify	EU/1/04/276/029	20-JUN-05	EMEA/H/C/000471	15 mg	Orodispersible tablet	15 mg	Carton box, Al/Al blister, N49	49
EU/1/04/276/030	Abilify	EU/1/04/276/030	20-JUN-05	EMEA/H/C/000471	30 mg	Orodispersible tablet	30 mg	Carton box, Al/Al blister, N14	14
EU/1/04/276/031	Abilify	EU/1/04/276/031	20-JUN-05	EMEA/H/C/000471	30 mg	Orodispersible tablet	30 mg	Carton box, Al/Al blister, N28	28
EU/1/04/276/032	Abilify	EU/1/04/276/032	20-JUN-05	EMEA/H/C/000471	30 mg	Orodispersible tablet	30 mg	Carton box, Al/Al blister, N49	49
EU/1/04/276/033	Abilify	EU/1/04/276/033	28-OCT-05	EMEA/H/C/000471	1 mg/ml	Oral solution	50 mg/50 ml	Carton box, Polyethylene bottle, N1	1
EU/1/04/276/034	Abilify	EU/1/04/276/034	27-APR-06	EMEA/H/C/000471	1 mg/ml	Oral solution	150 mg/150 ml	Carton box, Polyethylene bottle, N1	1
EU/1/04/276/035	Abilify	EU/1/04/276/035	27-APR-06	EMEA/H/C/000471	1 mg/ml	Oral solution	480 mg/480 ml	Carton box, Polyethylene bottle, N1	1
EU/1/04/276/036	Abilify	EU/1/04/276/036	04-OCT-06	EMEA/H/C/000471	7.5 mg/ml	Solution for injection	9,75 mg/1,3 ml	Carton box, Glass vial, N1	1
