product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/13/841/001	42800050	avanafil 50 MG Oral Tablet	1291369	EXACT			2026-02-17
EU/1/13/841/002	42800050	avanafil 50 MG Oral Tablet	1291369	EXACT			2026-02-17
EU/1/13/841/003	42800050	avanafil 50 MG Oral Tablet	1291369	EXACT			2026-02-17
EU/1/13/841/004	42800042	avanafil 100 MG Oral Tablet	1291306	EXACT			2026-02-17
EU/1/13/841/005	42800042	avanafil 100 MG Oral Tablet	1291306	EXACT			2026-02-17
EU/1/13/841/006	42800042	avanafil 100 MG Oral Tablet	1291306	EXACT			2026-02-17
EU/1/13/841/007	42800042	avanafil 100 MG Oral Tablet	1291306	EXACT			2026-02-17
EU/1/13/841/008	42800046	avanafil 200 MG Oral Tablet	1291365	EXACT			2026-02-17
EU/1/13/841/009	42800046	avanafil 200 MG Oral Tablet	1291365	EXACT			2026-02-17
EU/1/13/841/010	42800046	avanafil 200 MG Oral Tablet	1291365	EXACT			2026-02-17
EU/1/13/841/011	42800046	avanafil 200 MG Oral Tablet	1291365	EXACT			2026-02-17
EU/1/13/841/012	42800050	avanafil 50 MG Oral Tablet	1291369	EXACT			2026-02-17
EU/1/13/841/013	42800050	avanafil 50 MG Oral Tablet	1291369	EXACT			2026-02-17
EU/1/13/841/014	42800050	avanafil 50 MG Oral Tablet	1291369	EXACT			2026-02-17
EU/1/13/841/015	42800042	avanafil 100 MG Oral Tablet	1291306	EXACT			2026-02-17
EU/1/13/841/016	42800042	avanafil 100 MG Oral Tablet	1291306	EXACT			2026-02-17
EU/1/13/841/017	42800042	avanafil 100 MG Oral Tablet	1291306	EXACT			2026-02-17
EU/1/13/841/018	42800042	avanafil 100 MG Oral Tablet	1291306	EXACT			2026-02-17
EU/1/13/841/019	42800046	avanafil 200 MG Oral Tablet	1291365	EXACT			2026-02-17
EU/1/13/841/020	42800046	avanafil 200 MG Oral Tablet	1291365	EXACT			2026-02-17
EU/1/13/841/021	42800046	avanafil 200 MG Oral Tablet	1291365	EXACT			2026-02-17
EU/1/13/841/022	42800046	avanafil 200 MG Oral Tablet	1291365	EXACT			2026-02-17
