product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
00-0796-01	Benfogamma 50 mg coated tablets	00-0796	06-SEP-00	00-0796	50 mg	Coated tablet	50 mg	Carton box, PVC/Al blister, N50	50
00-0796-02	Benfogamma 50 mg coated tablets	00-0796	06-SEP-00	00-0796	50 mg	Coated tablet	50 mg	Carton box, PVC/Al blister, N100	100
00-0796-03	Benfogamma 50 mg coated tablets	00-0796	06-SEP-00	00-0796	50 mg	Coated tablet	50 mg	Carton box, PVC/Al blister, N30	30
00-0796-04	Benfogamma 50 mg coated tablets	00-0796	06-SEP-00	00-0796	50 mg	Coated tablet	50 mg	Carton box, PVC/Al blister, N60	60
00-0796-05	Benfogamma 50 mg coated tablets	00-0796	06-SEP-00	00-0796	50 mg	Coated tablet	50 mg	Carton box, PVC/Al blister, N500	500
00-0796-06	Benfogamma 50 mg coated tablets	00-0796	06-SEP-00	00-0796	50 mg	Coated tablet	50 mg	Carton box, PVC/Al blister, N1000	1000
00-0796-07	Benfogamma 50 mg coated tablets	00-0796	06-SEP-00	00-0796	50 mg	Coated tablet	50 mg	Carton box, PVC/Al blister, N5000	5000
14-0186-01	Benfogamma 300 mg film-coated tablets	14-0186	10-SEP-14	14-0186	300 mg	Film-coated tablet	300 mg	Carton box, PVC/PVDC/Al blister, N10	10
14-0186-02	Benfogamma 300 mg film-coated tablets	14-0186	10-SEP-14	14-0186	300 mg	Film-coated tablet	300 mg	Carton box, PVC/PVDC/Al blister, N30	30
14-0186-03	Benfogamma 300 mg film-coated tablets	14-0186	10-SEP-14	14-0186	300 mg	Film-coated tablet	300 mg	Carton box, PVC/PVDC/Al blister, N60	60
14-0186-04	Benfogamma 300 mg film-coated tablets	14-0186	10-SEP-14	14-0186	300 mg	Film-coated tablet	300 mg	Carton box, PVC/PVDC/Al blister, N100	100
