product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
09-0372-01	1344403	bicalutamide 50 MG Oral Tablet	199123				
09-0372-02	1344403	bicalutamide 50 MG Oral Tablet	199123				
09-0372-03	1344403	bicalutamide 50 MG Oral Tablet	199123				
09-0372-04	1344403	bicalutamide 50 MG Oral Tablet	199123				
09-0372-05	1344403	bicalutamide 50 MG Oral Tablet	199123				
09-0372-06	1344403	bicalutamide 50 MG Oral Tablet	199123				
09-0372-07	1344403	bicalutamide 50 MG Oral Tablet	199123				
09-0372-08	1344403	bicalutamide 50 MG Oral Tablet	199123				
09-0372-09	1344403	bicalutamide 50 MG Oral Tablet	199123				
20-0040-01	19096753	bicalutamide 150 MG Oral Tablet	349406				
20-0040-02	19096753	bicalutamide 150 MG Oral Tablet	349406				
20-0040-03	19096753	bicalutamide 150 MG Oral Tablet	349406				
20-0040-04	19096753	bicalutamide 150 MG Oral Tablet	349406				
20-0040-05	19096753	bicalutamide 150 MG Oral Tablet	349406				
20-0040-06	19096753	bicalutamide 150 MG Oral Tablet	349406				
