product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/17/1209/001	Reagila	EU/1/17/1209/001	13-JUL-17	EMEA/H/C/002770	1.5 mg	Capsule, hard	1,5 mg	PVC/PE/PVDC/Al blister, N7	7
EU/1/17/1209/002	Reagila	EU/1/17/1209/002	13-JUL-17	EMEA/H/C/002770	1.5 mg	Capsule, hard	1,5 mg	PVC/PE/PVDC/Al blister, N14	14
EU/1/17/1209/003	Reagila	EU/1/17/1209/003	13-JUL-17	EMEA/H/C/002770	1.5 mg	Capsule, hard	1,5 mg	PVC/PE/PVDC/Al blister, N28	28
EU/1/17/1209/004	Reagila	EU/1/17/1209/004	13-JUL-17	EMEA/H/C/002770	1.5 mg	Capsule, hard	1,5 mg	PVC/PE/PVDC/Al blister, N30	30
EU/1/17/1209/005	Reagila	EU/1/17/1209/005	13-JUL-17	EMEA/H/C/002770	1.5 mg	Capsule, hard	1,5 mg	PVC/PE/PVDC/Al blister, N49	49
EU/1/17/1209/006	Reagila	EU/1/17/1209/006	13-JUL-17	EMEA/H/C/002770	1.5 mg	Capsule, hard	1,5 mg	PVC/PE/PVDC/Al blister, N56	56
EU/1/17/1209/007	Reagila	EU/1/17/1209/007	13-JUL-17	EMEA/H/C/002770	1.5 mg	Capsule, hard	1,5 mg	PVC/PE/PVDC/Al blister, N60	60
EU/1/17/1209/008	Reagila	EU/1/17/1209/008	13-JUL-17	EMEA/H/C/002770	1.5 mg	Capsule, hard	1,5 mg	PVC/PE/PVDC/Al blister, N60	60
EU/1/17/1209/009	Reagila	EU/1/17/1209/009	13-JUL-17	EMEA/H/C/002770	1.5 mg	Capsule, hard	1,5 mg	PVC/PE/PVDC/Al blister, N90	90
EU/1/17/1209/010	Reagila	EU/1/17/1209/010	13-JUL-17	EMEA/H/C/002770	1.5 mg	Capsule, hard	1,5 mg	PVC/PE/PVDC/Al blister, N98	98
EU/1/17/1209/011	Reagila	EU/1/17/1209/011	13-JUL-17	EMEA/H/C/002770	3 mg	Capsule, hard	3 mg	PVC/PE/PVDC/Al blister, N7	7
EU/1/17/1209/012	Reagila	EU/1/17/1209/012	13-JUL-17	EMEA/H/C/002770	3 mg	Capsule, hard	3 mg	PVC/PE/PVDC/Al blister, N14	14
EU/1/17/1209/013	Reagila	EU/1/17/1209/013	13-JUL-17	EMEA/H/C/002770	3 mg	Capsule, hard	3 mg	PVC/PE/PVDC/Al blister, N28	28
EU/1/17/1209/014	Reagila	EU/1/17/1209/014	13-JUL-17	EMEA/H/C/002770	3 mg	Capsule, hard	3 mg	PVC/PE/PVDC/Al blister, N30	30
EU/1/17/1209/015	Reagila	EU/1/17/1209/015	13-JUL-17	EMEA/H/C/002770	3 mg	Capsule, hard	3 mg	PVC/PE/PVDC/Al blister, N49	49
EU/1/17/1209/016	Reagila	EU/1/17/1209/016	13-JUL-17	EMEA/H/C/002770	3 mg	Capsule, hard	3 mg	PVC/PE/PVDC/Al blister, N56	56
EU/1/17/1209/017	Reagila	EU/1/17/1209/017	13-JUL-17	EMEA/H/C/002770	3 mg	Capsule, hard	3 mg	PVC/PE/PVDC/Al blister, N60	60
EU/1/17/1209/018	Reagila	EU/1/17/1209/018	13-JUL-17	EMEA/H/C/002770	3 mg	Capsule, hard	3 mg	PVC/PE/PVDC/Al blister, N84	84
