product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/04/292/001	19107392	cinacalcet 30 MG Oral Tablet	432402	EXACT			2026-02-17
EU/1/04/292/002	19107392	cinacalcet 30 MG Oral Tablet	432402	EXACT			2026-02-17
EU/1/04/292/003	19107392	cinacalcet 30 MG Oral Tablet	432402	EXACT			2026-02-17
EU/1/04/292/004	19107392	cinacalcet 30 MG Oral Tablet	432402	EXACT			2026-02-17
EU/1/04/292/005	19107391	cinacalcet 60 MG Oral Tablet	432401	EXACT			2026-02-17
EU/1/04/292/006	19107391	cinacalcet 60 MG Oral Tablet	432401	EXACT			2026-02-17
EU/1/04/292/007	19107391	cinacalcet 60 MG Oral Tablet	432401	EXACT			2026-02-17
EU/1/04/292/008	19107391	cinacalcet 60 MG Oral Tablet	432401	EXACT			2026-02-17
EU/1/04/292/009	19107390	cinacalcet 90 MG Oral Tablet	432400	EXACT			2026-02-17
EU/1/04/292/010	19107390	cinacalcet 90 MG Oral Tablet	432400	EXACT			2026-02-17
EU/1/04/292/011	19107390	cinacalcet 90 MG Oral Tablet	432400	EXACT			2026-02-17
EU/1/04/292/012	19107390	cinacalcet 90 MG Oral Tablet	432400	EXACT			2026-02-17
EU/1/04/292/013	36063551	cinacalcet 1 MG Oral Granules	OMOP4989674	EXACT			2026-02-17
EU/1/04/292/014	36063550	cinacalcet 2.5 MG Oral Granules	OMOP4989668	EXACT			2026-02-17
EU/1/04/292/015	36046155	cinacalcet 5 MG Oral Granules	OMOP4989662	EXACT			2026-02-17
