product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
23-0168-01	19126425	cholecalciferol 1.25 MG Oral Capsule	705728				
23-0168-02	19126425	cholecalciferol 1.25 MG Oral Capsule	705728				
23-0168-03	19126425	cholecalciferol 1.25 MG Oral Capsule	705728				
23-0168-04	19126425	cholecalciferol 1.25 MG Oral Capsule	705728				
23-0168-05	19126425	cholecalciferol 1.25 MG Oral Capsule	705728				
23-0136-01							
23-0136-02							
23-0136-03							
23-0136-04							
23-0136-05							
23-0136-06							
