product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/20/1507/031	Spikevax LP.8.1	EU/1/20/1507/031	25-JUL-25	EMEA/H/C/005791	0.1 mg/ml	Dispersion for injection	2,5 ml	Carton box, Glass vial (multidose), N10	10
EU/1/20/1507/032	Spikevax LP.8.1	EU/1/20/1507/032	25-JUL-25	EMEA/H/C/005791	0.1 mg/ml	Dispersion for injection	2,5 ml	Carton box, Polymer vial (multidose), N10	10
EU/1/20/1507/033	Spikevax LP.8.1	EU/1/20/1507/033	25-JUL-25	EMEA/H/C/005791	50 µg/dose	Dispersion for injection	0,5 ml	Carton box, Polymer pre-filled syringe, N1	1
EU/1/20/1507/034	Spikevax LP.8.1	EU/1/20/1507/034	25-JUL-25	EMEA/H/C/005791	50 µg/dose	Dispersion for injection	0,5 ml	Carton box, Polymer pre-filled syringe, N10	10
EU/1/20/1507/035	Spikevax LP.8.1	EU/1/20/1507/035	25-JUL-25	EMEA/H/C/005791	50 µg/dose	Dispersion for injection	0,5 ml	Carton box, Polymer pre-filled syringe, N1	1
EU/1/20/1507/036	Spikevax LP.8.1	EU/1/20/1507/036	25-JUL-25	EMEA/H/C/005791	50 µg/dose	Dispersion for injection	0,5 ml	Carton box, Polymer pre-filled syringe, N10	10
EU/1/20/1507/037	Spikevax LP.8.1	EU/1/20/1507/037	25-JUL-25	EMEA/H/C/005791	25 µg/dose	Dispersion for injection	0,25 ml	Carton box, Polymer pre-filled syringe, N1	1
EU/1/20/1507/038	Spikevax LP.8.1	EU/1/20/1507/038	25-JUL-25	EMEA/H/C/005791	25 µg/dose	Dispersion for injection	0,25 ml	Carton box, Polymer pre-filled syringe, N10	10
EU/1/20/1507/039	Spikevax LP.8.1	EU/1/20/1507/039	25-JUL-25	EMEA/H/C/005791	25 µg/dose	Dispersion for injection	0,25 ml	Carton box, Polymer pre-filled syringe, N1	1
EU/1/20/1507/040	Spikevax LP.8.1	EU/1/20/1507/040	25-JUL-25	EMEA/H/C/005791	25 µg/dose	Dispersion for injection	0,25 ml	Carton box, Polymer pre-filled syringe, N10	10
