product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
24-0095-01	Bigetra 75 mg hard capsules	24-0095		PL/H/0808/001	75 mg	Capsule, hard	75 mg	Carton box, PA/Al/PVC/Al blister, N30	30
24-0095-02	Bigetra 75 mg hard capsules	24-0095		PL/H/0808/001	75 mg	Capsule, hard	75 mg	Carton box, PA/Al/PVC/Al blister, N60	60
24-0096-01	Bigetra 110 mg hard capsules	24-0096		PL/H/0808/002	110 mg	Capsule, hard	110 mg	Carton box, PA/Al/PVC/Al blister, N10	10
24-0096-02	Bigetra 110 mg hard capsules	24-0096		PL/H/0808/002	110 mg	Capsule, hard	110 mg	Carton box, PA/Al/PVC/Al blister, N30	30
24-0096-03	Bigetra 110 mg hard capsules	24-0096		PL/H/0808/002	110 mg	Capsule, hard	110 mg	Carton box, PA/Al/PVC/Al blister, N60	60
24-0096-04	Bigetra 110 mg hard capsules	24-0096		PL/H/0808/002	110 mg	Capsule, hard	110 mg	Carton box, PA/Al/PVC/Al blister, N100	100
24-0096-05	Bigetra 110 mg hard capsules	24-0096		PL/H/0808/002	110 mg	Capsule, hard	110 mg	Carton box, PA/Al/PVC/Al blister, N180	180
24-0097-01	Bigetra 150 mg hard capsules	24-0097		PL/H/0808/003	150 mg	Capsule, hard	150 mg	Carton box, PA/Al/PVC/Al blister, N30	30
24-0097-02	Bigetra 150 mg hard capsules	24-0097		PL/H/0808/003	150 mg	Capsule, hard	150 mg	Carton box, PA/Al/PVC/Al blister, N60	60
24-0097-03	Bigetra 150 mg hard capsules	24-0097		PL/H/0808/003	150 mg	Capsule, hard	150 mg	Carton box, PA/Al/PVC/Al blister, N100	100
24-0097-04	Bigetra 150 mg hard capsules	24-0097		PL/H/0808/003	150 mg	Capsule, hard	150 mg	Carton box, PA/Al/PVC/Al blister, N180	180
