product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
24-0137-01	40228161	dabigatran etexilate 75 MG Oral Capsule	1037179				
24-0137-02	40228161	dabigatran etexilate 75 MG Oral Capsule	1037179				
24-0137-03	40228161	dabigatran etexilate 75 MG Oral Capsule	1037179				
24-0138-01	35606208	dabigatran etexilate 110 MG Oral Capsule	1723476				
24-0138-02	35606208	dabigatran etexilate 110 MG Oral Capsule	1723476				
24-0138-03	35606208	dabigatran etexilate 110 MG Oral Capsule	1723476				
24-0138-04	35606208	dabigatran etexilate 110 MG Oral Capsule	1723476				
24-0138-05	35606208	dabigatran etexilate 110 MG Oral Capsule	1723476				
24-0139-01	40228154	dabigatran etexilate 150 MG Oral Capsule	1037045				
24-0139-02	40228154	dabigatran etexilate 150 MG Oral Capsule	1037045				
24-0139-03	40228154	dabigatran etexilate 150 MG Oral Capsule	1037045				
24-0139-04	40228154	dabigatran etexilate 150 MG Oral Capsule	1037045				
24-0139-05	40228154	dabigatran etexilate 150 MG Oral Capsule	1037045				
