product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
06-0081-03	Dolmen 25 mg film-coated tablets	06-0081	03-APR-06	ES/H/0101/002	25 mg	Film-coated tablet	25 mg	PVC/Al blister, N20	20
06-0081-04	Dolmen 25 mg film-coated tablets	06-0081	03-APR-06	ES/H/0101/002	25 mg	Film-coated tablet	25 mg	PVC/Al blister, N30	30
06-0081-05	Dolmen 25 mg film-coated tablets	06-0081	03-APR-06	ES/H/0101/002	25 mg	Film-coated tablet	25 mg	PVC/Al blister, N50	50
06-0081-06	Dolmen 25 mg film-coated tablets	06-0081	03-APR-06	ES/H/0101/002	25 mg	Film-coated tablet	25 mg	PVC/Al blister, N500	500
06-0081-07	Dolmen 25 mg film-coated tablets	06-0081	03-APR-06	ES/H/0101/002	25 mg	Film-coated tablet	25 mg	Aclar/Al blister, N20	20
06-0081-08	Dolmen 25 mg film-coated tablets	06-0081	03-APR-06	ES/H/0101/002	25 mg	Film-coated tablet	25 mg	Aclar/Al blister, N30	30
06-0081-09	Dolmen 25 mg film-coated tablets	06-0081	03-APR-06	ES/H/0101/002	25 mg	Film-coated tablet	25 mg	Aclar/Al blister, N50	50
06-0081-10	Dolmen 25 mg film-coated tablets	06-0081	03-APR-06	ES/H/0101/002	25 mg	Film-coated tablet	25 mg	Aclar/Al blister, N500	500
06-0081-11	Dolmen 25 mg film-coated tablets	06-0081	03-APR-06	ES/H/0101/002	25 mg	Film-coated tablet	25 mg	Al/Al blister, N20	20
06-0081-12	Dolmen 25 mg film-coated tablets	06-0081	03-APR-06	ES/H/0101/002	25 mg	Film-coated tablet	25 mg	Al/Al blister, N30	30
06-0081-13	Dolmen 25 mg film-coated tablets	06-0081	03-APR-06	ES/H/0101/002	25 mg	Film-coated tablet	25 mg	Al/Al blister, N50	50
06-0081-14	Dolmen 25 mg film-coated tablets	06-0081	03-APR-06	ES/H/0101/002	25 mg	Film-coated tablet	25 mg	Al/Al blister, N500	500
06-0082-01	Dolmen 50 mg/2 ml solution for injection/infusion	06-0082	03-APR-06	ES/H/0101/003	50 mg/2 ml	Solution for injection/infusion	50 mg/2 ml	Ampoule, N1	1
06-0082-02	Dolmen 50 mg/2 ml solution for injection/infusion	06-0082	03-APR-06	ES/H/0101/003	50 mg/2 ml	Solution for injection/infusion	50 mg/2 ml	Ampoule, N5	5
06-0082-03	Dolmen 50 mg/2 ml solution for injection/infusion	06-0082	03-APR-06	ES/H/0101/003	50 mg/2 ml	Solution for injection/infusion	50 mg/2 ml	Ampoule, N6	6
06-0082-04	Dolmen 50 mg/2 ml solution for injection/infusion	06-0082	03-APR-06	ES/H/0101/003	50 mg/2 ml	Solution for injection/infusion	50 mg/2 ml	Ampoule, N10	10
06-0082-05	Dolmen 50 mg/2 ml solution for injection/infusion	06-0082	03-APR-06	ES/H/0101/003	50 mg/2 ml	Solution for injection/infusion	50 mg/2 ml	Ampoule, N20	20
06-0082-06	Dolmen 50 mg/2 ml solution for injection/infusion	06-0082	03-APR-06	ES/H/0101/003	50 mg/2 ml	Solution for injection/infusion	50 mg/2 ml	Ampoule, N50	50
06-0082-07	Dolmen 50 mg/2 ml solution for injection/infusion	06-0082	03-APR-06	ES/H/0101/003	50 mg/2 ml	Solution for injection/infusion	50 mg/2 ml	Ampoule, N100	100
11-0259-04	Dolmen 25 mg granules for oral solution	11-0259	28-JUL-11	ES/H/0101/005	25 mg	Granules for oral solution	25 mg	Carton box, Al/PE sachet, N20	20
