product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
02-0256-02	DHC Continus 90 mg prolonged release tablets	02-0256	05-DEC-07	02-0256	90 mg	Prolonged-release tablet	90 mg	PVC/PVDC/Al blister, N56	56
02-0256-03	DHC Continus 90 mg prolonged release tablets	02-0256	05-DEC-07	02-0256	90 mg	Prolonged-release tablet	90 mg	PVC/PVDC/Al blister, N20	20
02-0256-04	DHC Continus 90 mg prolonged release tablets	02-0256	05-DEC-07	02-0256	90 mg	Prolonged-release tablet	90 mg	PVC/PVDC/Al blister, N60	60
02-0256-05	DHC Continus 90 mg prolonged release tablets	02-0256	05-DEC-07	02-0256	90 mg	Prolonged-release tablet	90 mg	PVC/PVDC/Al blister, N10	10
02-0256-06	DHC Continus 90 mg prolonged release tablets	02-0256	05-DEC-07	02-0256	90 mg	Prolonged-release tablet	90 mg	PP bottle, N10	10
02-0256-07	DHC Continus 90 mg prolonged release tablets	02-0256	05-DEC-07	02-0256	90 mg	Prolonged-release tablet	90 mg	PP bottle, N20	20
02-0256-08	DHC Continus 90 mg prolonged release tablets	02-0256	05-DEC-07	02-0256	90 mg	Prolonged-release tablet	90 mg	PP bottle, N56	56
02-0256-09	DHC Continus 90 mg prolonged release tablets	02-0256	05-DEC-07	02-0256	90 mg	Prolonged-release tablet	90 mg	PP bottle, N60	60
02-0256-10	DHC Continus 90 mg prolonged release tablets	02-0256	05-DEC-07	02-0256	90 mg	Prolonged-release tablet	90 mg	PE bottle, N10	10
02-0256-11	DHC Continus 90 mg prolonged release tablets	02-0256	05-DEC-07	02-0256	90 mg	Prolonged-release tablet	90 mg	PE bottle, N20	20
02-0256-12	DHC Continus 90 mg prolonged release tablets	02-0256	05-DEC-07	02-0256	90 mg	Prolonged-release tablet	90 mg	PE bottle, N56	56
02-0256-13	DHC Continus 90 mg prolonged release tablets	02-0256	05-DEC-07	02-0256	90 mg	Prolonged-release tablet	90 mg	PE bottle, N60	60
02-0257-02	DHC Continus 120 mg prolonged release tablets	02-0257	05-DEC-07	02-0257	120 mg	Prolonged-release tablet	120 mg	PVC/PVDC/Al blister, N56	56
02-0257-03	DHC Continus 120 mg prolonged release tablets	02-0257	05-DEC-07	02-0257	120 mg	Prolonged-release tablet	120 mg	PVC/PVDC/Al blister, N10	10
02-0257-04	DHC Continus 120 mg prolonged release tablets	02-0257	05-DEC-07	02-0257	120 mg	Prolonged-release tablet	120 mg	PP bottle, N10	10
02-0257-05	DHC Continus 120 mg prolonged release tablets	02-0257	05-DEC-07	02-0257	120 mg	Prolonged-release tablet	120 mg	PP bottle, N56	56
02-0257-06	DHC Continus 120 mg prolonged release tablets	02-0257	05-DEC-07	02-0257	120 mg	Prolonged-release tablet	120 mg	PE bottle, N10	10
02-0257-07	DHC Continus 120 mg prolonged release tablets	02-0257	05-DEC-07	02-0257	120 mg	Prolonged-release tablet	120 mg	PE bottle, N56	56
96-0594-01	DHC Continus 60 mg prolonged release tablets	96-0594	05-DEC-07	96-0594	60 mg	Prolonged-release tablet	60 mg	PVC/PVDC/Al blister, N56	56
96-0594-02	DHC Continus 60 mg prolonged release tablets	96-0594	05-DEC-07	96-0594	60 mg	Prolonged-release tablet	60 mg	PP bottle, N56	56
96-0594-03	DHC Continus 60 mg prolonged release tablets	96-0594	05-DEC-07	96-0594	60 mg	Prolonged-release tablet	60 mg	PE bottle, N56	56
96-0594-04	DHC Continus 60 mg prolonged release tablets	96-0594	05-DEC-07	96-0594	60 mg	Prolonged-release tablet	60 mg	PVC/PVDC/Al blister, N10	10
96-0594-05	DHC Continus 60 mg prolonged release tablets	96-0594	05-DEC-07	96-0594	60 mg	Prolonged-release tablet	60 mg	PVC/PVDC/Al blister, N20	20
96-0594-06	DHC Continus 60 mg prolonged release tablets	96-0594	05-DEC-07	96-0594	60 mg	Prolonged-release tablet	60 mg	PVC/PVDC/Al blister, N60	60
96-0594-07	DHC Continus 60 mg prolonged release tablets	96-0594	05-DEC-07	96-0594	60 mg	Prolonged-release tablet	60 mg	PE bottle, N10	10
96-0594-08	DHC Continus 60 mg prolonged release tablets	96-0594	05-DEC-07	96-0594	60 mg	Prolonged-release tablet	60 mg	PE bottle, N20	20
96-0594-09	DHC Continus 60 mg prolonged release tablets	96-0594	05-DEC-07	96-0594	60 mg	Prolonged-release tablet	60 mg	PP bottle, N60	60
96-0594-10	DHC Continus 60 mg prolonged release tablets	96-0594	05-DEC-07	96-0594	60 mg	Prolonged-release tablet	60 mg	PP bottle, N10	10
96-0594-11	DHC Continus 60 mg prolonged release tablets	96-0594	05-DEC-07	96-0594	60 mg	Prolonged-release tablet	60 mg	PP bottle, N20	20
96-0594-12	DHC Continus 60 mg prolonged release tablets	96-0594	05-DEC-07	96-0594	60 mg	Prolonged-release tablet	60 mg	PE bottle, N60	60
