product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
07-0031-01	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PVC/PVDC/Al blister, N10	10
07-0031-02	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PVC/PVDC/Al blister, N20	20
07-0031-03	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PVC/PVDC/Al blister, N28	28
07-0031-04	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PVC/PVDC/Al blister, N30	30
07-0031-05	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PVC/PVDC/Al blister, N50	50
07-0031-06	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PVC/PVDC/Al blister, N60	60
07-0031-07	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PVC/PVDC/Al blister, N90	90
07-0031-08	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PVC/PVDC/Al blister, N98	98
07-0031-09	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PVC/PVDC/Al blister, N100	100
07-0031-10	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PVC/PVDC/Al blister, N140	140
07-0031-11	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PVC/PVDC/Al blister, N56	56
07-0031-12	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PVC/PVDC/Al calendar blister, N28	28
07-0031-13	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PVC/PVDC/Al calendar blister, N98	98
07-0031-14	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PVC/PVDC/Al unit-dose blister, N50	50
07-0031-15	Doxalfa 4 mg prolonged-release tablets	07-0031	05-OCT-09	NL/H/4618/001	4 mg	Prolonged-release tablet	4 mg	Carton box, PP bottle, N500	500
