product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
15-0068-01	Dulsevia 30 mg gastro-resistant capsule, hard	15-0068	24-JAN-20	SK/H/0155/001	30 mg	Gastro-resistant capsule, hard	30 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N7	7
15-0068-02	Dulsevia 30 mg gastro-resistant capsule, hard	15-0068	24-JAN-20	SK/H/0155/001	30 mg	Gastro-resistant capsule, hard	30 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N10	10
15-0068-03	Dulsevia 30 mg gastro-resistant capsule, hard	15-0068	24-JAN-20	SK/H/0155/001	30 mg	Gastro-resistant capsule, hard	30 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N14	14
15-0068-04	Dulsevia 30 mg gastro-resistant capsule, hard	15-0068	24-JAN-20	SK/H/0155/001	30 mg	Gastro-resistant capsule, hard	30 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N28	28
15-0068-05	Dulsevia 30 mg gastro-resistant capsule, hard	15-0068	24-JAN-20	SK/H/0155/001	30 mg	Gastro-resistant capsule, hard	30 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N30	30
15-0068-06	Dulsevia 30 mg gastro-resistant capsule, hard	15-0068	24-JAN-20	SK/H/0155/001	30 mg	Gastro-resistant capsule, hard	30 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N56	56
15-0068-07	Dulsevia 30 mg gastro-resistant capsule, hard	15-0068	24-JAN-20	SK/H/0155/001	30 mg	Gastro-resistant capsule, hard	30 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N60	60
15-0068-08	Dulsevia 30 mg gastro-resistant capsule, hard	15-0068	24-JAN-20	SK/H/0155/001	30 mg	Gastro-resistant capsule, hard	30 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N90	90
15-0068-09	Dulsevia 30 mg gastro-resistant capsule, hard	15-0068	24-JAN-20	SK/H/0155/001	30 mg	Gastro-resistant capsule, hard	30 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N100	100
15-0069-01	Dulsevia 60 mg gastro-resistant capsule, hard	15-0069	24-JAN-20	SK/H/0155/002	60 mg	Gastro-resistant capsule, hard	60 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N7	7
15-0069-02	Dulsevia 60 mg gastro-resistant capsule, hard	15-0069	24-JAN-20	SK/H/0155/002	60 mg	Gastro-resistant capsule, hard	60 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N10	10
15-0069-03	Dulsevia 60 mg gastro-resistant capsule, hard	15-0069	24-JAN-20	SK/H/0155/002	60 mg	Gastro-resistant capsule, hard	60 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N14	14
15-0069-04	Dulsevia 60 mg gastro-resistant capsule, hard	15-0069	24-JAN-20	SK/H/0155/002	60 mg	Gastro-resistant capsule, hard	60 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N28	28
15-0069-05	Dulsevia 60 mg gastro-resistant capsule, hard	15-0069	24-JAN-20	SK/H/0155/002	60 mg	Gastro-resistant capsule, hard	60 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N30	30
15-0069-06	Dulsevia 60 mg gastro-resistant capsule, hard	15-0069	24-JAN-20	SK/H/0155/002	60 mg	Gastro-resistant capsule, hard	60 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N56	56
15-0069-07	Dulsevia 60 mg gastro-resistant capsule, hard	15-0069	24-JAN-20	SK/H/0155/002	60 mg	Gastro-resistant capsule, hard	60 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N60	60
15-0069-08	Dulsevia 60 mg gastro-resistant capsule, hard	15-0069	24-JAN-20	SK/H/0155/002	60 mg	Gastro-resistant capsule, hard	60 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N90	90
15-0069-09	Dulsevia 60 mg gastro-resistant capsule, hard	15-0069	24-JAN-20	SK/H/0155/002	60 mg	Gastro-resistant capsule, hard	60 mg	Carton box, OPA/Al/PE/desiccant/Al/PE blister, N100	100
