product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
25-0060-01	45892850	edoxaban 15 MG Oral Tablet	1599543				
25-0061-01	45892856	edoxaban 30 MG Oral Tablet	1599551				
25-0061-02	45892856	edoxaban 30 MG Oral Tablet	1599551				
25-0061-03	45892856	edoxaban 30 MG Oral Tablet	1599551				
25-0061-04	45892856	edoxaban 30 MG Oral Tablet	1599551				
25-0061-05	45892856	edoxaban 30 MG Oral Tablet	1599551				
25-0061-06	45892856	edoxaban 30 MG Oral Tablet	1599551				
25-0062-01	45892860	edoxaban 60 MG Oral Tablet	1599555				
25-0062-02	45892860	edoxaban 60 MG Oral Tablet	1599555				
25-0062-03	45892860	edoxaban 60 MG Oral Tablet	1599555				
25-0062-04	45892860	edoxaban 60 MG Oral Tablet	1599555				
25-0062-05	45892860	edoxaban 60 MG Oral Tablet	1599555				
25-0062-06	45892860	edoxaban 60 MG Oral Tablet	1599555				
25-0062-07	45892860	edoxaban 60 MG Oral Tablet	1599555				
