product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
09-0192-01	40165789	enalapril maleate 5 MG Oral Tablet	858813				
09-0192-02	40165789	enalapril maleate 5 MG Oral Tablet	858813				
09-0192-03	40165789	enalapril maleate 5 MG Oral Tablet	858813				
09-0192-04	40165789	enalapril maleate 5 MG Oral Tablet	858813				
09-0192-05	40165789	enalapril maleate 5 MG Oral Tablet	858813				
09-0192-06	40165789	enalapril maleate 5 MG Oral Tablet	858813				
09-0193-01	40165762	enalapril maleate 10 MG Oral Tablet	858817				
09-0193-02	40165762	enalapril maleate 10 MG Oral Tablet	858817				
09-0193-03	40165762	enalapril maleate 10 MG Oral Tablet	858817				
09-0193-04	40165762	enalapril maleate 10 MG Oral Tablet	858817				
09-0193-05	40165762	enalapril maleate 10 MG Oral Tablet	858817				
09-0193-06	40165762	enalapril maleate 10 MG Oral Tablet	858817				
09-0194-01	40165774	enalapril maleate 20 MG Oral Tablet [Renitec]	858845				
09-0194-02	40165774	enalapril maleate 20 MG Oral Tablet [Renitec]	858845				
09-0194-03	40165774	enalapril maleate 20 MG Oral Tablet [Renitec]	858845				
09-0194-04	40165774	enalapril maleate 20 MG Oral Tablet [Renitec]	858845				
09-0194-05	40165774	enalapril maleate 20 MG Oral Tablet [Renitec]	858845				
09-0194-06	40165774	enalapril maleate 20 MG Oral Tablet [Renitec]	858845				
