product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
93-0520-01	Enap 20 mg tablets	93-0520	06-NOV-09	93-0520	20 mg	Tablet	20 mg	Carton box, Blister, N20	20
93-0520-02	Enap 20 mg tablets	93-0520	06-NOV-09	93-0520	20 mg	Tablet	20 mg	Carton box, Blister, N60	60
93-0520-03	Enap 20 mg tablets	93-0520	06-NOV-09	93-0520	20 mg	Tablet	20 mg	Carton box, Blister, N30	30
93-0520-04	Enap 20 mg tablets	93-0520	06-NOV-09	93-0520	20 mg	Tablet	20 mg	Carton box, Blister, N90	90
97-0574-01	Enap 5 mg tablets	97-0574	24-OCT-08	97-0574	5 mg	Tablet	5 mg	Blister, N20	20
97-0574-02	Enap 5 mg tablets	97-0574	24-OCT-08	97-0574	5 mg	Tablet	5 mg	Blister, N60	60
97-0574-03	Enap 5 mg tablets	97-0574	24-OCT-08	97-0574	5 mg	Tablet	5 mg	Blister, N30	30
97-0574-04	Enap 5 mg tablets	97-0574	24-OCT-08	97-0574	5 mg	Tablet	5 mg	Blister, N90	90
99-0669-01	Enap 10 mg tablets	99-0669	06-NOV-09	99-0669	10 mg	Tablet	10 mg	Carton box, Blister, N20	20
99-0669-02	Enap 10 mg tablets	99-0669	06-NOV-09	99-0669	10 mg	Tablet	10 mg	Carton box, Blister, N60	60
99-0669-03	Enap 10 mg tablets	99-0669	06-NOV-09	99-0669	10 mg	Tablet	10 mg	Carton box, Blister, N30	30
99-0669-04	Enap 10 mg tablets	99-0669	06-NOV-09	99-0669	10 mg	Tablet	10 mg	Carton box, Blister, N90	90
