product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
98-0717-02	Clexane 2000 IU (20 mg)/0.2 ml solution for injection in pre-filled syringe	98-0717	11-NOV-98	AT/H/0751/001	2000 IU (20 mg)/0.2 ml	Solution for injection in pre-filled syringe	2000 IU/0,2 ml	Carton box, Glass pre-filled syringe, N10	10
98-0717-03	Clexane 2000 IU (20 mg)/0.2 ml solution for injection in pre-filled syringe	98-0717	11-NOV-98	AT/H/0751/001	2000 IU (20 mg)/0.2 ml	Solution for injection in pre-filled syringe	2000 IU/0,2 ml	Carton box, Glass pre-filled syringe, N2	2
98-0717-04	Clexane 2000 IU (20 mg)/0.2 ml solution for injection in pre-filled syringe	98-0717	11-NOV-98	AT/H/0751/001	2000 IU (20 mg)/0.2 ml	Solution for injection in pre-filled syringe	2000 IU/0,2 ml	Carton box, Glass pre-filled syringe, N20	20
98-0717-05	Clexane 2000 IU (20 mg)/0.2 ml solution for injection in pre-filled syringe	98-0717	11-NOV-98	AT/H/0751/001	2000 IU (20 mg)/0.2 ml	Solution for injection in pre-filled syringe	2000 IU/0,2 ml	Carton box, Glass pre-filled syringe, N5	5
98-0717-06	Clexane 2000 IU (20 mg)/0.2 ml solution for injection in pre-filled syringe	98-0717	11-NOV-98	AT/H/0751/001	2000 IU (20 mg)/0.2 ml	Solution for injection in pre-filled syringe	2000 IU/0,2 ml	Carton box, Glass pre-filled syringe, N6	6
98-0717-07	Clexane 2000 IU (20 mg)/0.2 ml solution for injection in pre-filled syringe	98-0717	11-NOV-98	AT/H/0751/001	2000 IU (20 mg)/0.2 ml	Solution for injection in pre-filled syringe	2000 IU/0,2 ml	Carton box, Glass pre-filled syringe, N30	30
98-0717-08	Clexane 2000 IU (20 mg)/0.2 ml solution for injection in pre-filled syringe	98-0717	11-NOV-98	AT/H/0751/001	2000 IU (20 mg)/0.2 ml	Solution for injection in pre-filled syringe	2000 IU/0,2 ml	Carton box, Glass pre-filled syringe, N50	50
98-0717-09	Clexane 2000 IU (20 mg)/0.2 ml solution for injection in pre-filled syringe	98-0717	11-NOV-98	AT/H/0751/001	2000 IU (20 mg)/0.2 ml	Solution for injection in pre-filled syringe	2000 IU/0,2 ml	Carton box, Glass pre-filled syringe, N100	100
98-0717-10	Clexane 2000 IU (20 mg)/0.2 ml solution for injection in pre-filled syringe	98-0717	11-NOV-98	AT/H/0751/001	2000 IU (20 mg)/0.2 ml	Solution for injection in pre-filled syringe	2000 IU/0,2 ml	Carton box, Glass pre-filled syringe with safety system, N2	2
98-0717-11	Clexane 2000 IU (20 mg)/0.2 ml solution for injection in pre-filled syringe	98-0717	11-NOV-98	AT/H/0751/001	2000 IU (20 mg)/0.2 ml	Solution for injection in pre-filled syringe	2000 IU/0,2 ml	Carton box, Glass pre-filled syringe with safety system, N5	5
98-0717-12	Clexane 2000 IU (20 mg)/0.2 ml solution for injection in pre-filled syringe	98-0717	11-NOV-98	AT/H/0751/001	2000 IU (20 mg)/0.2 ml	Solution for injection in pre-filled syringe	2000 IU/0,2 ml	Carton box, Glass pre-filled syringe with safety system, N6	6
