product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
23-0138-01	Enzalutamide Sandoz 40 mg film-coated tablets	23-0138	18-AUG-23	NL/H/5454/001	40 mg	Film-coated tablet	40 mg	Carton box, HDPE bottle, N112	112
23-0138-02	Enzalutamide Sandoz 40 mg film-coated tablets	23-0138	18-AUG-23	NL/H/5454/001	40 mg	Film-coated tablet	40 mg	Carton box, PVC/PVDC/Al blister, N28	28
23-0138-03	Enzalutamide Sandoz 40 mg film-coated tablets	23-0138	18-AUG-23	NL/H/5454/001	40 mg	Film-coated tablet	40 mg	Carton box, PVC/PVDC/Al blister, N112	112
23-0138-04	Enzalutamide Sandoz 40 mg film-coated tablets	23-0138	18-AUG-23	NL/H/5454/001	40 mg	Film-coated tablet	40 mg	Carton box, PVC/PVDC/Al perforated unit dose blister, N28	28
23-0138-05	Enzalutamide Sandoz 40 mg film-coated tablets	23-0138	18-AUG-23	NL/H/5454/001	40 mg	Film-coated tablet	40 mg	Carton box, PVC/PVDC/Al perforated unit dose blister, N112	112
23-0138-06	Enzalutamide Sandoz 40 mg film-coated tablets	23-0138	18-AUG-23	NL/H/5454/001	40 mg	Film-coated tablet	40 mg	Carton box, PVC/PVDC/Al blister in wallet, N28	28
23-0138-07	Enzalutamide Sandoz 40 mg film-coated tablets	23-0138	18-AUG-23	NL/H/5454/001	40 mg	Film-coated tablet	40 mg	Carton box, PVC/PVDC/Al blister in wallet, N112	112
23-0139-01	Enzalutamide Sandoz 80 mg film-coated tablets	23-0139	18-AUG-23	NL/H/5454/002	80 mg	Film-coated tablet	80 mg	Carton box, HDPE bottle, N56	56
23-0139-02	Enzalutamide Sandoz 80 mg film-coated tablets	23-0139	18-AUG-23	NL/H/5454/002	80 mg	Film-coated tablet	80 mg	Carton box, PVC/PVDC/Al blister, N14	14
23-0139-03	Enzalutamide Sandoz 80 mg film-coated tablets	23-0139	18-AUG-23	NL/H/5454/002	80 mg	Film-coated tablet	80 mg	Carton box, PVC/PVDC/Al blister, N56	56
23-0139-04	Enzalutamide Sandoz 80 mg film-coated tablets	23-0139	18-AUG-23	NL/H/5454/002	80 mg	Film-coated tablet	80 mg	Carton box, PVC/PVDC/Al perforated unit dose blister, N14	14
23-0139-05	Enzalutamide Sandoz 80 mg film-coated tablets	23-0139	18-AUG-23	NL/H/5454/002	80 mg	Film-coated tablet	80 mg	Carton box, PVC/PVDC/Al perforated unit dose blister, N56	56
23-0139-06	Enzalutamide Sandoz 80 mg film-coated tablets	23-0139	18-AUG-23	NL/H/5454/002	80 mg	Film-coated tablet	80 mg	Carton box, PVC/PVDC/Al blister in wallet, N14	14
23-0139-07	Enzalutamide Sandoz 80 mg film-coated tablets	23-0139	18-AUG-23	NL/H/5454/002	80 mg	Film-coated tablet	80 mg	Carton box, PVC/PVDC/Al blister in wallet, N56	56
25-0090-01	Enzalutamide Sandoz 40 mg soft capsules	25-0090	06-MAR-25	FI/H/1247/001	40 mg	Capsule, soft	40 mg	Carton box, PVC/Aclar/Al blister, N28	28
25-0090-02	Enzalutamide Sandoz 40 mg soft capsules	25-0090	06-MAR-25	FI/H/1247/001	40 mg	Capsule, soft	40 mg	Carton box, PVC/Aclar/Al blister, N112	112
25-0090-03	Enzalutamide Sandoz 40 mg soft capsules	25-0090	06-MAR-25	FI/H/1247/001	40 mg	Capsule, soft	40 mg	Carton box, PVC/Aclar/Al blister, N120	120
