product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/16/1142/001	1593453	0.5 ML etelcalcetide 5 MG/ML Injection [Parsabiv]	1876138	EXACT			2026-02-17
EU/1/16/1142/002	1593453	0.5 ML etelcalcetide 5 MG/ML Injection [Parsabiv]	1876138	EXACT			2026-02-17
EU/1/16/1142/003	1593453	0.5 ML etelcalcetide 5 MG/ML Injection [Parsabiv]	1876138	EXACT			2026-02-17
EU/1/16/1142/004	1593453	0.5 ML etelcalcetide 5 MG/ML Injection [Parsabiv]	1876138	EXACT			2026-02-17
EU/1/16/1142/005	1593451	1 ML etelcalcetide 5 MG/ML Injection [Parsabiv]	1876136	EXACT			2026-02-17
EU/1/16/1142/006	1593451	1 ML etelcalcetide 5 MG/ML Injection [Parsabiv]	1876136	EXACT			2026-02-17
EU/1/16/1142/007	1593451	1 ML etelcalcetide 5 MG/ML Injection [Parsabiv]	1876136	EXACT			2026-02-17
EU/1/16/1142/008	1593451	1 ML etelcalcetide 5 MG/ML Injection [Parsabiv]	1876136	EXACT			2026-02-17
EU/1/16/1142/009	1593447	2 ML etelcalcetide 5 MG/ML Injection [Parsabiv]	1876132	EXACT			2026-02-17
EU/1/16/1142/010	1593447	2 ML etelcalcetide 5 MG/ML Injection [Parsabiv]	1876132	EXACT			2026-02-17
EU/1/16/1142/011	1593447	2 ML etelcalcetide 5 MG/ML Injection [Parsabiv]	1876132	EXACT			2026-02-17
EU/1/16/1142/012	1593447	2 ML etelcalcetide 5 MG/ML Injection [Parsabiv]	1876132	EXACT			2026-02-17
