product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
21-0124-01	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-02	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-03	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-04	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-05	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-06	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-07	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-08	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-09	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-10	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-11	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-12	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-13	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-14	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-15	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0124-16	19017747	febuxostat 80 MG Oral Tablet	834241	EXACT			2026-04-07
21-0125-01	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-02	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-03	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-04	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-05	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-06	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-07	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-08	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-09	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-10	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-11	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-12	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-13	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-14	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-15	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
21-0125-16	21154460	febuxostat 120 MG Oral Tablet	OMOP265512	EXACT			2026-04-07
