product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/08/441/001	Effentora	EU/1/08/441/001	04-APR-08	EMEA/H/C/000833	100 mcg	Buccal tablet	100 µg	Carton box, PA/Al/PVC blister, N4	4
EU/1/08/441/002	Effentora	EU/1/08/441/002	04-APR-08	EMEA/H/C/000833	100 mcg	Buccal tablet	100 µg	Carton box, PA/Al/PVC blister, N28	28
EU/1/08/441/003	Effentora	EU/1/08/441/003	04-APR-08	EMEA/H/C/000833	200 mcg	Buccal tablet	200 µg	Carton box, PA/Al/PVC blister, N4	4
EU/1/08/441/004	Effentora	EU/1/08/441/004	04-APR-08	EMEA/H/C/000833	200 mcg	Buccal tablet	200 µg	Carton box, PA/Al/PVC blister, N28	28
EU/1/08/441/005	Effentora	EU/1/08/441/005	04-APR-08	EMEA/H/C/000833	400 mcg	Buccal tablet	400 µg	Carton box, PA/Al/PVC blister, N4	4
EU/1/08/441/006	Effentora	EU/1/08/441/006	04-APR-08	EMEA/H/C/000833	400 mcg	Buccal tablet	400 µg	Carton box, PA/Al/PVC blister, N28	28
EU/1/08/441/007	Effentora	EU/1/08/441/007	04-APR-08	EMEA/H/C/000833	600 mcg	Buccal tablet	600 µg	Carton box, PA/Al/PVC blister, N4	4
EU/1/08/441/008	Effentora	EU/1/08/441/008	04-APR-08	EMEA/H/C/000833	600 mcg	Buccal tablet	600 µg	Carton box, PA/Al/PVC blister, N28	28
EU/1/08/441/009	Effentora	EU/1/08/441/009	04-APR-08	EMEA/H/C/000833	800 mcg	Buccal tablet	800 µg	Carton box, PA/Al/PVC blister, N4	4
EU/1/08/441/010	Effentora	EU/1/08/441/010	04-APR-08	EMEA/H/C/000833	800 mcg	Buccal tablet	800 µg	Carton box, PA/Al/PVC blister, N28	28
