product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
09-0096-01	Lunaldin 100 micrograms sublingual tablets	09-0096	25-AUG-14	SE/H/0575/002	100 μg	Sublingual tablet	100 µg	Carton box, OPA/Al/PVC//paper/PE/Al blister, N10	10
09-0096-02	Lunaldin 100 micrograms sublingual tablets	09-0096	25-AUG-14	SE/H/0575/002	100 μg	Sublingual tablet	100 µg	Carton box, OPA/Al/PVC//paper/PE/Al blister, N30	30
09-0097-01	Lunaldin 200 micrograms sublingual tablets	09-0097	25-AUG-14	SE/H/0575/003	200 μg	Sublingual tablet	200 µg	Carton box, OPA/Al/PVC//paper/PE/Al blister, N10	10
09-0097-02	Lunaldin 200 micrograms sublingual tablets	09-0097	25-AUG-14	SE/H/0575/003	200 μg	Sublingual tablet	200 µg	Carton box, OPA/Al/PVC//paper/PE/Al blister, N30	30
09-0098-01	Lunaldin 300 micrograms sublingual tablets	09-0098	25-AUG-14	SE/H/0575/004	300 μg	Sublingual tablet	300 µg	Carton box, OPA/Al/PVC//paper/PE/Al blister, N10	10
09-0098-02	Lunaldin 300 micrograms sublingual tablets	09-0098	25-AUG-14	SE/H/0575/004	300 μg	Sublingual tablet	300 µg	Carton box, OPA/Al/PVC//paper/PE/Al blister, N30	30
09-0099-01	Lunaldin 400 micrograms sublingual tablets	09-0099	25-AUG-14	SE/H/0575/005	400 μg	Sublingual tablet	400 µg	Carton box, OPA/Al/PVC//paper/PE/Al blister, N10	10
09-0099-02	Lunaldin 400 micrograms sublingual tablets	09-0099	25-AUG-14	SE/H/0575/005	400 μg	Sublingual tablet	400 µg	Carton box, OPA/Al/PVC//paper/PE/Al blister, N30	30
09-0100-01	Lunaldin 600 micrograms sublingual tablets	09-0100	25-AUG-14	SE/H/0575/006	600 μg	Sublingual tablet	600 µg	Carton box, OPA/Al/PVC//paper/PE/Al blister, N10	10
09-0100-02	Lunaldin 600 micrograms sublingual tablets	09-0100	25-AUG-14	SE/H/0575/006	600 μg	Sublingual tablet	600 µg	Carton box, OPA/Al/PVC//paper/PE/Al blister, N30	30
09-0101-01	Lunaldin 800 micrograms sublingual tablets	09-0101	25-AUG-14	SE/H/0575/007	800 μg	Sublingual tablet	800 µg	Carton box, OPA/Al/PVC//paper/PE/Al blister, N10	10
09-0101-02	Lunaldin 800 micrograms sublingual tablets	09-0101	25-AUG-14	SE/H/0575/007	800 μg	Sublingual tablet	800 µg	Carton box, OPA/Al/PVC//paper/PE/Al blister, N30	30
