product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
10-0203-01	37498623	ferric derisomaltose 100 MG/ML Injection	2274404				
10-0203-02	37498623	ferric derisomaltose 100 MG/ML Injection	2274404				
10-0203-03	37498623	ferric derisomaltose 100 MG/ML Injection	2274404				
10-0203-04	37498623	ferric derisomaltose 100 MG/ML Injection	2274404				
10-0203-17	37498623	ferric derisomaltose 100 MG/ML Injection	2274404				
10-0203-05	37498623	ferric derisomaltose 100 MG/ML Injection	2274404				
10-0203-06	37498623	ferric derisomaltose 100 MG/ML Injection	2274404				
10-0203-07	37498623	ferric derisomaltose 100 MG/ML Injection	2274404				
10-0203-08	37498623	ferric derisomaltose 100 MG/ML Injection	2274404				
10-0203-09	37498623	ferric derisomaltose 100 MG/ML Injection	2274404				
10-0203-10	37498623	ferric derisomaltose 100 MG/ML Injection	2274404				
10-0203-11	37498623	ferric derisomaltose 100 MG/ML Injection	2274404				
10-0203-12	37498623	ferric derisomaltose 100 MG/ML Injection	2274404				
10-0203-18	37498623	ferric derisomaltose 100 MG/ML Injection	2274404				
10-0203-13	37499803	10 ML ferric derisomaltose 100 MG/ML Injection	2274408				
10-0203-14	37499803	10 ML ferric derisomaltose 100 MG/ML Injection	2274408				
10-0203-15	37499803	10 ML ferric derisomaltose 100 MG/ML Injection	2274408				
10-0203-16	37499803	10 ML ferric derisomaltose 100 MG/ML Injection	2274408				
10-0203-19	37499803	10 ML ferric derisomaltose 100 MG/ML Injection	2274408				
