product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
24-0265-01	19077548	gabapentin 300 MG Oral Capsule	310431	EXACT			2026-04-07
24-0265-02	19077548	gabapentin 300 MG Oral Capsule	310431	EXACT			2026-04-07
24-0265-03	19077548	gabapentin 300 MG Oral Capsule	310431	EXACT			2026-04-07
24-0265-04	19077548	gabapentin 300 MG Oral Capsule	310431	EXACT			2026-04-07
24-0265-05	19077548	gabapentin 300 MG Oral Capsule	310431	EXACT			2026-04-07
24-0265-06	19077548	gabapentin 300 MG Oral Capsule	310431	EXACT			2026-04-07
24-0265-07	19077548	gabapentin 300 MG Oral Capsule	310431	EXACT			2026-04-07
24-0265-08	19077548	gabapentin 300 MG Oral Capsule	310431	EXACT			2026-04-07
24-0265-09	19077548	gabapentin 300 MG Oral Capsule	310431	EXACT			2026-04-07
24-0265-10	19077548	gabapentin 300 MG Oral Capsule	310431	EXACT			2026-04-07
24-0265-11	19077548	gabapentin 300 MG Oral Capsule	310431	EXACT			2026-04-07
24-0266-01	19077549	gabapentin 400 MG Oral Capsule	310432	EXACT			2026-04-07
24-0266-02	19077549	gabapentin 400 MG Oral Capsule	310432	EXACT			2026-04-07
24-0266-03	19077549	gabapentin 400 MG Oral Capsule	310432	EXACT			2026-04-07
24-0266-04	19077549	gabapentin 400 MG Oral Capsule	310432	EXACT			2026-04-07
24-0266-05	19077549	gabapentin 400 MG Oral Capsule	310432	EXACT			2026-04-07
24-0266-06	19077549	gabapentin 400 MG Oral Capsule	310432	EXACT			2026-04-07
24-0266-07	19077549	gabapentin 400 MG Oral Capsule	310432	EXACT			2026-04-07
24-0266-08	19077549	gabapentin 400 MG Oral Capsule	310432	EXACT			2026-04-07
24-0266-09	19077549	gabapentin 400 MG Oral Capsule	310432	EXACT			2026-04-07
24-0266-10	19077549	gabapentin 400 MG Oral Capsule	310432	EXACT			2026-04-07
24-0266-11	19077549	gabapentin 400 MG Oral Capsule	310432	EXACT			2026-04-07
24-0266-12	19077549	gabapentin 400 MG Oral Capsule	310432	EXACT			2026-04-07
24-0266-13	19077549	gabapentin 400 MG Oral Capsule	310432	EXACT			2026-04-07
