product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
09-0537-01	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-02	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-03	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-04	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-05	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-06	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-07	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-08	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-09	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-10	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-11	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-12	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-13	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-14	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-15	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
09-0537-16	21133671	Gliclazide 60 MG Extended Release Oral Tablet	OMOP412803				
