product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
99-0371-05	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	100 ml	Carton box, Glass bottle, N20	20
99-0371-06	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	250 ml	Carton box, N22	22
99-0371-07	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	500 ml	Carton box, N22	22
99-0371-08	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	100 ml	Carton box, Polyethylene bottle, N40	40
99-0371-09	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	250 ml	Carton box, Polyethylene bottle, N20	20
99-0371-10	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	500 ml	Carton box, Polyethylene bottle, N20	20
99-0371-11	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	1000 ml	Carton box, Polyethylene bottle, N10	10
99-0371-12	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	1000 ml	Carton box, Polypropylene bag, N10	10
99-0371-13	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	2,5 g/50 ml	Carton box, Freeflex (polyolefine) bag, N60	60
99-0371-14	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	5 g/100 ml	Carton box, Freeflex (polyolefine) bag, N50	50
99-0371-15	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	12,5 g/250 ml	Carton box, Freeflex (polyolefine) bag, N30	30
99-0371-16	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	25 g/500 ml	Carton box, Freeflex (polyolefine) bag, N20	20
99-0371-17	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	50 g/1000 ml	Carton box, Freeflex (polyolefine) bag, N10	10
99-0371-18	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	2,5 g/50 ml	Carton box, Freeflex (polyolefine) bag with needle-free system, N60	60
99-0371-19	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	5 g/100 ml	Carton box, Freeflex (polyolefine) bag with needle-free system, N50	50
99-0371-20	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	12,5 g/250 ml	Carton box, Freeflex (polyolefine) bag with needle-free system, N30	30
99-0371-21	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	25 g/500 ml	Carton box, Freeflex (polyolefine) bag with needle-free system, N20	20
99-0371-22	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	50 g/1000 ml	Carton box, Freeflex (polyolefine) bag with needle-free system, N10	10
99-0371-23	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	2,5 g/50 ml	Carton box, Freeflex (polyolefine) bag with vial adapter, N60	60
99-0371-24	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	5 g/100 ml	Carton box, Freeflex (polyolefine) bag with vial adapter, N50	50
99-0371-25	Glucose Fresenius 5% solution for infusion	99-0371	19-MAY-99	99-0371	5%	Solution for infusion	12,5 g/250 ml	Carton box, Freeflex (polyolefine) bag with vial adapter, N30	30
99-0372-05	Glucose Fresenius 10% solution for infusion	99-0372	19-MAY-99	99-0372	10%	Solution for infusion	25 g/250 ml	Carton box, Polyethylene bottle, N20	20
99-0372-06	Glucose Fresenius 10% solution for infusion	99-0372	19-MAY-99	99-0372	10%	Solution for infusion	50 g/500 ml	Carton box, Polyethylene bottle, N20	20
99-0372-07	Glucose Fresenius 10% solution for infusion	99-0372	19-MAY-99	99-0372	10%	Solution for infusion	50 g/500 ml	Carton box, N22	22
99-0372-08	Glucose Fresenius 10% solution for infusion	99-0372	19-MAY-99	99-0372	10%	Solution for infusion	25 g/250 ml	Carton box, N22	22
99-0372-09	Glucose Fresenius 10% solution for infusion	99-0372	19-MAY-99	99-0372	10%	Solution for infusion	25 g/250 ml	Carton box, Freeflex (polyolefine) bag, N30	30
99-0372-10	Glucose Fresenius 10% solution for infusion	99-0372	19-MAY-99	99-0372	10%	Solution for infusion	50 g/500 ml	Carton box, Freeflex (polyolefine) bag, N20	20
99-0372-11	Glucose Fresenius 10% solution for infusion	99-0372	19-MAY-99	99-0372	10%	Solution for infusion	100 g/1000 ml	Carton box, Freeflex (polyolefine) bag, N10	10
99-0372-12	Glucose Fresenius 10% solution for infusion	99-0372	19-MAY-99	99-0372	10%	Solution for infusion	25 g/250 ml	Carton box, Freeflex (polyolefine) bag with needle-free system, N30	30
99-0372-13	Glucose Fresenius 10% solution for infusion	99-0372	19-MAY-99	99-0372	10%	Solution for infusion	50 g/500 ml	Carton box, Freeflex (polyolefine) bag with needle-free system, N20	20
99-0372-14	Glucose Fresenius 10% solution for infusion	99-0372	19-MAY-99	99-0372	10%	Solution for infusion	100 g/1000 ml	Carton box, Freeflex (polyolefine) bag with needle-free system, N10	10
