product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
04-0380-01	Ibumax 200 mg film-coated tablets	04-0380	27-JUN-07	04-0380	200 mg	Film-coated tablet	200 mg	Blister, N10	10
04-0380-02	Ibumax 200 mg film-coated tablets	04-0380	27-JUN-07	04-0380	200 mg	Film-coated tablet	200 mg	Blister, N20	20
04-0380-03	Ibumax 200 mg film-coated tablets	04-0380	27-JUN-07	04-0380	200 mg	Film-coated tablet	200 mg	Blister, N30	30
04-0380-04	Ibumax 200 mg film-coated tablets	04-0380	27-JUN-07	04-0380	200 mg	Film-coated tablet	200 mg	Blister, N50	50
04-0380-05	Ibumax 200 mg film-coated tablets	04-0380	27-JUN-07	04-0380	200 mg	Film-coated tablet	200 mg	Blister, N100	100
04-0381-01	Ibumax 600 mg film-coated tablets	04-0381	27-JUN-07	04-0381	600 mg	Film-coated tablet	600 mg	N10	10
04-0381-02	Ibumax 600 mg film-coated tablets	04-0381	27-JUN-07	04-0381	600 mg	Film-coated tablet	600 mg	N30	30
04-0381-03	Ibumax 600 mg film-coated tablets	04-0381	27-JUN-07	04-0381	600 mg	Film-coated tablet	600 mg	N100	100
97-0118-01	Ibumax 400 mg film-coated tablets	97-0118	27-JUN-07	97-0118	400 mg	Film-coated tablet	400 mg	PVC/Al blister, N10	10
97-0118-02	Ibumax 400 mg film-coated tablets	97-0118	27-JUN-07	97-0118	400 mg	Film-coated tablet	400 mg	N30	30
97-0118-03	Ibumax 400 mg film-coated tablets	97-0118	27-JUN-07	97-0118	400 mg	Film-coated tablet	400 mg	N100	100
97-0118-04	Ibumax 400 mg film-coated tablets	97-0118	27-JUN-07	97-0118	400 mg	Film-coated tablet	400 mg	PVC/Al blister, N30	30
97-0118-05	Ibumax 400 mg film-coated tablets	97-0118	27-JUN-07	97-0118	400 mg	Film-coated tablet	400 mg	PVC/Al blister, N50	50
97-0118-06	Ibumax 400 mg film-coated tablets	97-0118	27-JUN-07	97-0118	400 mg	Film-coated tablet	400 mg	N50	50
