product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
04-0380-01	19078461	ibuprofen 200 MG Oral Tablet	310965	EXACT			2026-04-06
04-0380-02	19078461	ibuprofen 200 MG Oral Tablet	310965	EXACT			2026-04-06
04-0380-03	19078461	ibuprofen 200 MG Oral Tablet	310965	EXACT			2026-04-06
04-0380-04	19078461	ibuprofen 200 MG Oral Tablet	310965	EXACT			2026-04-06
04-0380-05	19078461	ibuprofen 200 MG Oral Tablet	310965	EXACT			2026-04-06
04-0381-01	19019073	ibuprofen 600 MG Oral Tablet	197806	EXACT			2026-04-06
04-0381-02	19019073	ibuprofen 600 MG Oral Tablet	197806	EXACT			2026-04-06
04-0381-03	19019073	ibuprofen 600 MG Oral Tablet	197806	EXACT			2026-04-06
97-0118-01	19019072	ibuprofen 400 MG Oral Tablet	197805	EXACT			2026-04-06
97-0118-02	19019072	ibuprofen 400 MG Oral Tablet	197805	EXACT			2026-04-06
97-0118-03	19019072	ibuprofen 400 MG Oral Tablet	197805	EXACT			2026-04-06
97-0118-04	19019072	ibuprofen 400 MG Oral Tablet	197805	EXACT			2026-04-06
97-0118-05	19019072	ibuprofen 400 MG Oral Tablet	197805	EXACT			2026-04-06
97-0118-06	19019072	ibuprofen 400 MG Oral Tablet	197805	EXACT			2026-04-06
