product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
26-0005-01	Ibuprofen Azinpharma 200 mg film-coated tablets	26-0005	17-JAN-26	LV/H/0294/001	200 mg	Film-coated tablet	200 mg	Carton box, PVC/Al blister, N10	10
26-0005-02	Ibuprofen Azinpharma 200 mg film-coated tablets	26-0005	17-JAN-26	LV/H/0294/001	200 mg	Film-coated tablet	200 mg	Carton box, PVC/Al blister, N12	12
26-0005-03	Ibuprofen Azinpharma 200 mg film-coated tablets	26-0005	17-JAN-26	LV/H/0294/001	200 mg	Film-coated tablet	200 mg	Carton box, PVC/Al blister, N20	20
26-0005-04	Ibuprofen Azinpharma 200 mg film-coated tablets	26-0005	17-JAN-26	LV/H/0294/001	200 mg	Film-coated tablet	200 mg	Carton box, PVC/Al blister, N24	24
26-0005-05	Ibuprofen Azinpharma 200 mg film-coated tablets	26-0005	17-JAN-26	LV/H/0294/001	200 mg	Film-coated tablet	200 mg	Carton box, PVC/Al blister, N30	30
26-0005-06	Ibuprofen Azinpharma 200 mg film-coated tablets	26-0005	17-JAN-26	LV/H/0294/001	200 mg	Film-coated tablet	200 mg	Carton box, PVC/Al blister, N40	40
26-0005-07	Ibuprofen Azinpharma 200 mg film-coated tablets	26-0005	17-JAN-26	LV/H/0294/001	200 mg	Film-coated tablet	200 mg	Carton box, PVC/Al blister, N48	48
26-0005-08	Ibuprofen Azinpharma 200 mg film-coated tablets	26-0005	17-JAN-26	LV/H/0294/001	200 mg	Film-coated tablet	200 mg	Carton box, PVC/Al blister, N100	100
26-0006-01	Ibuprofen Azinpharma 400 mg film-coated tablets	26-0006	17-JAN-26	LV/H/0294/002	400 mg	Film-coated tablet	400 mg	Carton box, PVC/Al blister, N10	10
26-0006-02	Ibuprofen Azinpharma 400 mg film-coated tablets	26-0006	17-JAN-26	LV/H/0294/002	400 mg	Film-coated tablet	400 mg	Carton box, PVC/Al blister, N12	12
26-0006-03	Ibuprofen Azinpharma 400 mg film-coated tablets	26-0006	17-JAN-26	LV/H/0294/002	400 mg	Film-coated tablet	400 mg	Carton box, PVC/Al blister, N20	20
26-0006-04	Ibuprofen Azinpharma 400 mg film-coated tablets	26-0006	17-JAN-26	LV/H/0294/002	400 mg	Film-coated tablet	400 mg	Carton box, PVC/Al blister, N24	24
26-0006-05	Ibuprofen Azinpharma 400 mg film-coated tablets	26-0006	17-JAN-26	LV/H/0294/002	400 mg	Film-coated tablet	400 mg	Carton box, PVC/Al blister, N30	30
26-0006-06	Ibuprofen Azinpharma 400 mg film-coated tablets	26-0006	17-JAN-26	LV/H/0294/002	400 mg	Film-coated tablet	400 mg	Carton box, PVC/Al blister, N40	40
26-0006-07	Ibuprofen Azinpharma 400 mg film-coated tablets	26-0006	17-JAN-26	LV/H/0294/002	400 mg	Film-coated tablet	400 mg	Carton box, PVC/Al blister, N48	48
26-0006-08	Ibuprofen Azinpharma 400 mg film-coated tablets	26-0006	17-JAN-26	LV/H/0294/002	400 mg	Film-coated tablet	400 mg	Carton box, PVC/Al blister, N100	100
26-0007-01	Ibuprofen Azinpharma 600 mg film-coated tablets	26-0007	17-JAN-26	LV/H/0294/003	600 mg	Film-coated tablet	600 mg	Carton box, PVC/Al blister, N20	20
26-0007-02	Ibuprofen Azinpharma 600 mg film-coated tablets	26-0007	17-JAN-26	LV/H/0294/003	600 mg	Film-coated tablet	600 mg	Carton box, PVC/Al blister, N24	24
26-0007-03	Ibuprofen Azinpharma 600 mg film-coated tablets	26-0007	17-JAN-26	LV/H/0294/003	600 mg	Film-coated tablet	600 mg	Carton box, PVC/Al blister, N30	30
26-0007-04	Ibuprofen Azinpharma 600 mg film-coated tablets	26-0007	17-JAN-26	LV/H/0294/003	600 mg	Film-coated tablet	600 mg	Carton box, PVC/Al blister, N40	40
26-0007-05	Ibuprofen Azinpharma 600 mg film-coated tablets	26-0007	17-JAN-26	LV/H/0294/003	600 mg	Film-coated tablet	600 mg	Carton box, PVC/Al blister, N50	50
26-0007-06	Ibuprofen Azinpharma 600 mg film-coated tablets	26-0007	17-JAN-26	LV/H/0294/003	600 mg	Film-coated tablet	600 mg	Carton box, PVC/Al blister, N100	100
