product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
19-0200-01	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N2	2
19-0200-02	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N4	4
19-0200-03	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N6	6
19-0200-04	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N8	8
19-0200-05	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N10	10
19-0200-06	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N12	12
19-0200-07	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N14	14
19-0200-08	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N16	16
19-0200-09	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N18	18
19-0200-10	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N20	20
19-0200-11	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N22	22
19-0200-12	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N24	24
19-0200-13	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N26	26
19-0200-14	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N28	28
19-0200-15	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N30	30
19-0200-16	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N32	32
19-0200-17	Ibuprofen Banner 100 mg soft chewable capsules	19-0200	06-DEC-19	NL/H/3903/001	100 mg	Chewable capsule, soft	100 mg	Carton box, PVC/PE/PVDC/Al blister, N48	48
