product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/97/030/048	Insuman Comb 50	EU/1/97/030/048	11-NOV-98	EMEA/H/C/000201	100 IU/ml	Suspension for injection	500 IU/5 ml	Glass vial, N1	1
EU/1/97/030/049	Insuman Comb 50	EU/1/97/030/049	11-NOV-98	EMEA/H/C/000201	100 IU/ml	Suspension for injection	500 IU/5 ml	Glass vial, N5	5
EU/1/97/030/050	Insuman Comb 50	EU/1/97/030/050	11-NOV-98	EMEA/H/C/000201	100 IU/ml	Suspension for injection	100 IU/3 ml	Glass cartridge, N5	5
EU/1/97/030/051	Insuman Comb 50	EU/1/97/030/051	11-NOV-98	EMEA/H/C/000201	40 IU/ml	Suspension for injection	400 IU/10 ml	Glass vial, N1	1
EU/1/97/030/052	Insuman Comb 50	EU/1/97/030/052	11-NOV-98	EMEA/H/C/000201	40 IU/ml	Suspension for injection	400 IU/10 ml	Glass vial, N5	5
EU/1/97/030/063	Insuman Comb 50	EU/1/97/030/063	18-FEB-99	EMEA/H/C/000201	100 IU/ml	Suspension for injection	300 IU/3 ml	Glass cartridge, N4	4
EU/1/97/030/064	Insuman Comb 50	EU/1/97/030/064	18-FEB-99	EMEA/H/C/000201	100 IU/ml	Suspension for injection	300 IU/3 ml	Glass cartridge, N10	10
EU/1/97/030/089	Insuman Comb 50	EU/1/97/030/089	18-DEC-07	EMEA/H/C/000201	100 IU/ml	Suspension for injection	300 IU/3 ml	Glass cartridge, N3	3
EU/1/97/030/094	Insuman Comb 50	EU/1/97/030/094	18-DEC-07	EMEA/H/C/000201	100 IU/ml	Suspension for injection	300 IU/3 ml	Glass cartridge, N6	6
EU/1/97/030/099	Insuman Comb 50	EU/1/97/030/099	18-DEC-07	EMEA/H/C/000201	100 IU/ml	Suspension for injection	300 IU/3 ml	Glass cartridge, N9	9
EU/1/97/030/164	Insuman Comb 50	EU/1/97/030/164	04-NOV-08	EMEA/H/C/000201	100 IU/ml	Suspension for injection	300 IU/3 ml	Glass cartridge in pre-filled pen (SoloStar), N3	3
EU/1/97/030/165	Insuman Comb 50	EU/1/97/030/165	04-NOV-08	EMEA/H/C/000201	100 IU/ml	Suspension for injection	300 IU/3 ml	Glass cartridge in pre-filled pen (SoloStar), N4	4
EU/1/97/030/166	Insuman Comb 50	EU/1/97/030/166	04-NOV-08	EMEA/H/C/000201	100 IU/ml	Suspension for injection	300 IU/3 ml	Glass cartridge in pre-filled pen (SoloStar), N5	5
EU/1/97/030/167	Insuman Comb 50	EU/1/97/030/167	04-NOV-08	EMEA/H/C/000201	100 IU/ml	Suspension for injection	300 IU/3 ml	Glass cartridge in pre-filled pen (SoloStar), N6	6
EU/1/97/030/168	Insuman Comb 50	EU/1/97/030/168	04-NOV-08	EMEA/H/C/000201	100 IU/ml	Suspension for injection	300 IU/3 ml	Glass cartridge in pre-filled pen (SoloStar), N9	9
EU/1/97/030/169	Insuman Comb 50	EU/1/97/030/169	04-NOV-08	EMEA/H/C/000201	100 IU/ml	Suspension for injection	300 IU/3 ml	Glass cartridge in pre-filled pen (SoloStar), N10	10
