product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/20/1422/001	Lyumjev	EU/1/20/1422/001	24-MAR-20	EMEA/H/C/005037	100 U/ml	Solution for injection	1000 U/10 ml	Glass vial, N1	1
EU/1/20/1422/002	Lyumjev	EU/1/20/1422/002	24-MAR-20	EMEA/H/C/005037	100 U/ml	Solution for injection	1000 U/10 ml	Glass vial, N2	2
EU/1/20/1422/003	Lyumjev	EU/1/20/1422/003	24-MAR-20	EMEA/H/C/005037	100 U/ml	Solution for injection	1000 U/10 ml	Glass vial, N5	5
EU/1/20/1422/004	Lyumjev	EU/1/20/1422/004	24-MAR-20	EMEA/H/C/005037	100 U/ml	Solution for injection	300 U/3 ml	Glass cartridge, N2	2
EU/1/20/1422/005	Lyumjev	EU/1/20/1422/005	24-MAR-20	EMEA/H/C/005037	100 U/ml	Solution for injection	300 U/3 ml	Glass cartridge, N5	5
EU/1/20/1422/006	Lyumjev	EU/1/20/1422/006	24-MAR-20	EMEA/H/C/005037	100 U/ml	Solution for injection	300 U/3 ml	Glass cartridge, N10	10
EU/1/20/1422/007	Lyumjev	EU/1/20/1422/007	24-MAR-20	EMEA/H/C/005037	100 U/ml	Solution for injection	300 U/3 ml	Glass cartridge in pre-filled pen (KwikPen), N2	2
EU/1/20/1422/008	Lyumjev	EU/1/20/1422/008	24-MAR-20	EMEA/H/C/005037	100 U/ml	Solution for injection	300 U/3 ml	Glass cartridge in pre-filled pen (KwikPen), N5	5
EU/1/20/1422/009	Lyumjev	EU/1/20/1422/009	24-MAR-20	EMEA/H/C/005037	100 U/ml	Solution for injection	300 U/3 ml	Glass cartridge in pre-filled pen (KwikPen), N10	10
EU/1/20/1422/010	Lyumjev	EU/1/20/1422/010	24-MAR-20	EMEA/H/C/005037	100 U/ml	Solution for injection	300 U/3 ml	Glass cartridge in pre-filled pen (Junior KwikPen), N2	2
EU/1/20/1422/011	Lyumjev	EU/1/20/1422/011	24-MAR-20	EMEA/H/C/005037	100 U/ml	Solution for injection	300 U/3 ml	Glass cartridge in pre-filled pen (Junior KwikPen), N5	5
EU/1/20/1422/012	Lyumjev	EU/1/20/1422/012	24-MAR-20	EMEA/H/C/005037	100 U/ml	Solution for injection	300 U/3 ml	Glass cartridge in pre-filled pen (Junior KwikPen), N10	10
EU/1/20/1422/013	Lyumjev	EU/1/20/1422/013	24-MAR-20	EMEA/H/C/005037	200 U/ml	Solution for injection	600 U/3 ml	Glass cartridge in pre-filled pen (KwikPen), N2	2
EU/1/20/1422/014	Lyumjev	EU/1/20/1422/014	24-MAR-20	EMEA/H/C/005037	200 U/ml	Solution for injection	600 U/3 ml	Glass cartridge in pre-filled pen (KwikPen), N5	5
EU/1/20/1422/015	Lyumjev	EU/1/20/1422/015	24-MAR-20	EMEA/H/C/005037	200 U/ml	Solution for injection	600 U/3 ml	Glass cartridge in pre-filled pen (KwikPen), N10	10
EU/1/20/1422/016	Lyumjev	EU/1/20/1422/016	24-MAR-20	EMEA/H/C/005037	100 U/ml	Solution for injection	300 U/3 ml	Glass cartridge in pre-filled pen, N5	5
EU/1/20/1422/017	Lyumjev	EU/1/20/1422/017	24-MAR-20	EMEA/H/C/005037	100 U/ml	Solution for injection	300 U/3 ml	Glass cartridge in pre-filled pen, N10	10
