product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
16-0142-01	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N14	14
16-0142-02	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N28	28
16-0142-03	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N30	30
16-0142-04	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N56	56
16-0142-05	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N60	60
16-0142-06	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N90	90
16-0142-07	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N98	98
16-0142-08	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N100	100
16-0142-09	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N112	112
16-0142-10	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N180	180
16-0142-11	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N14	14
16-0142-12	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N28	28
16-0142-13	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N30	30
16-0142-14	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N56	56
16-0142-15	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N60	60
16-0142-16	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N90	90
16-0142-17	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N98	98
16-0142-18	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N100	100
16-0142-19	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N112	112
16-0142-20	Bixebra 5 mg film-coated tablets	16-0142	11-AUG-16	LV/H/0234/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N180	180
