product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/08/470/001	19132861	lacosamide 50 MG Oral Tablet [Vimpat]	810002	EXACT			2026-02-17
EU/1/08/470/002	19132861	lacosamide 50 MG Oral Tablet [Vimpat]	810002	EXACT			2026-02-17
EU/1/08/470/003	19132861	lacosamide 50 MG Oral Tablet [Vimpat]	810002	EXACT			2026-02-17
EU/1/08/470/004	19132849	lacosamide 100 MG Oral Tablet [Vimpat]	809990	EXACT			2026-02-17
EU/1/08/470/005	19132849	lacosamide 100 MG Oral Tablet [Vimpat]	809990	EXACT			2026-02-17
EU/1/08/470/006	19132849	lacosamide 100 MG Oral Tablet [Vimpat]	809990	EXACT			2026-02-17
EU/1/08/470/007	19132853	lacosamide 150 MG Oral Tablet [Vimpat]	809994	EXACT			2026-02-17
EU/1/08/470/008	19132853	lacosamide 150 MG Oral Tablet [Vimpat]	809994	EXACT			2026-02-17
EU/1/08/470/009	19132853	lacosamide 150 MG Oral Tablet [Vimpat]	809994	EXACT			2026-02-17
EU/1/08/470/010	19132857	lacosamide 200 MG Oral Tablet [Vimpat]	809998	EXACT			2026-02-17
EU/1/08/470/011	19132857	lacosamide 200 MG Oral Tablet [Vimpat]	809998	EXACT			2026-02-17
EU/1/08/470/012	19132857	lacosamide 200 MG Oral Tablet [Vimpat]	809998	EXACT			2026-02-17
EU/1/08/470/013	19132853	lacosamide 150 MG Oral Tablet [Vimpat]	809994	NARROW		{lacosamide 50 MG Oral Tablet / lacosamide 100 MG Oral Tablet / lacosamide 150 MG Oral Tablet / lacosamide 200 MG Oral Tablet} Pack [Vimpat]	2026-03-12
EU/1/08/470/016	19132845	20 ML lacosamide 10 MG/ML Injection [Vimpat]	809984	EXACT			2026-02-17
EU/1/08/470/017	19132845	20 ML lacosamide 10 MG/ML Injection [Vimpat]	809984	EXACT			2026-02-17
EU/1/08/470/018	40222474	lacosamide 10 MG/ML Oral Solution [Vimpat]	995156	EXACT			2026-02-17
EU/1/08/470/020	19132861	lacosamide 50 MG Oral Tablet [Vimpat]	810002	EXACT			2026-02-17
EU/1/08/470/021	19132849	lacosamide 100 MG Oral Tablet [Vimpat]	809990	EXACT			2026-02-17
EU/1/08/470/022	19132853	lacosamide 150 MG Oral Tablet [Vimpat]	809994	EXACT			2026-02-17
EU/1/08/470/023	19132857	lacosamide 200 MG Oral Tablet [Vimpat]	809998	EXACT			2026-02-17
EU/1/08/470/024	19132861	lacosamide 50 MG Oral Tablet [Vimpat]	810002	EXACT			2026-02-17
EU/1/08/470/025	19132861	lacosamide 50 MG Oral Tablet [Vimpat]	810002	EXACT			2026-02-17
EU/1/08/470/026	19132849	lacosamide 100 MG Oral Tablet [Vimpat]	809990	EXACT			2026-02-17
EU/1/08/470/027	19132849	lacosamide 100 MG Oral Tablet [Vimpat]	809990	EXACT			2026-02-17
EU/1/08/470/028	19132853	lacosamide 150 MG Oral Tablet [Vimpat]	809994	EXACT			2026-02-17
EU/1/08/470/029	19132853	lacosamide 150 MG Oral Tablet [Vimpat]	809994	EXACT			2026-02-17
EU/1/08/470/030	19132857	lacosamide 200 MG Oral Tablet [Vimpat]	809998	EXACT			2026-02-17
EU/1/08/470/031	19132857	lacosamide 200 MG Oral Tablet [Vimpat]	809998	EXACT			2026-02-17
EU/1/08/470/032	19132861	lacosamide 50 MG Oral Tablet [Vimpat]	810002	EXACT			2026-02-17
EU/1/08/470/033	19132849	lacosamide 100 MG Oral Tablet [Vimpat]	809990	EXACT			2026-02-17
EU/1/08/470/034	19132853	lacosamide 150 MG Oral Tablet [Vimpat]	809994	EXACT			2026-02-17
EU/1/08/470/035	19132857	lacosamide 200 MG Oral Tablet [Vimpat]	809998	EXACT			2026-02-17
EU/1/08/470/005-P01	19132849	lacosamide 100 MG Oral Tablet [Vimpat]	809990	EXACT			2026-02-17
EU/1/08/470/011-P01	19132857	lacosamide 200 MG Oral Tablet [Vimpat]	809998	EXACT			2026-02-17
EU/1/08/470/019	40222474	lacosamide 10 MG/ML Oral Solution [Vimpat]	995156	EXACT			2026-02-17
