product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/20/1490/001	Lenalidomide Mylan	EU/1/20/1490/001	18-DEC-20	EMEA/H/C/005306	2.5 mg	Capsule, hard	2,5 mg	PVC/PCTFE/AL blister, N7	7
EU/1/20/1490/002	Lenalidomide Mylan	EU/1/20/1490/002	18-DEC-20	EMEA/H/C/005306	2.5 mg	Capsule, hard	2,5 mg	PVC/PCTFE/AL blister, N21	21
EU/1/20/1490/003	Lenalidomide Mylan	EU/1/20/1490/003	18-DEC-20	EMEA/H/C/005306	2.5 mg	Capsule, hard	2,5 mg	PVC/PCTFE/AL perforated unit dose blister, N21	21
EU/1/20/1490/004	Lenalidomide Mylan	EU/1/20/1490/004	18-DEC-20	EMEA/H/C/005306	5 mg	Capsule, hard	5 mg	PVC/PCTFE/AL blister, N21	21
EU/1/20/1490/005	Lenalidomide Mylan	EU/1/20/1490/005	18-DEC-20	EMEA/H/C/005306	5 mg	Capsule, hard	5 mg	PVC/PCTFE/AL perforated unit dose blister, N21	21
EU/1/20/1490/006	Lenalidomide Mylan	EU/1/20/1490/006	18-DEC-20	EMEA/H/C/005306	7.5 mg	Capsule, hard	7,5 mg	PVC/PCTFE/AL blister, N7	7
EU/1/20/1490/007	Lenalidomide Mylan	EU/1/20/1490/007	18-DEC-20	EMEA/H/C/005306	7.5 mg	Capsule, hard	7,5 mg	PVC/PCTFE/AL blister, N21	21
EU/1/20/1490/008	Lenalidomide Mylan	EU/1/20/1490/008	18-DEC-20	EMEA/H/C/005306	7.5 mg	Capsule, hard	7,5 mg	PVC/PCTFE/AL perforated unit dose blister, N21	21
EU/1/20/1490/009	Lenalidomide Mylan	EU/1/20/1490/009	18-DEC-20	EMEA/H/C/005306	10 mg	Capsule, hard	10 mg	PVC/PCTFE/AL blister, N21	21
EU/1/20/1490/010	Lenalidomide Mylan	EU/1/20/1490/010	18-DEC-20	EMEA/H/C/005306	10 mg	Capsule, hard	10 mg	PVC/PCTFE/AL perforated unit dose blister, N21	21
EU/1/20/1490/011	Lenalidomide Mylan	EU/1/20/1490/011	18-DEC-20	EMEA/H/C/005306	15 mg	Capsule, hard	15 mg	PVC/PCTFE/AL blister, N21	21
EU/1/20/1490/012	Lenalidomide Mylan	EU/1/20/1490/012	18-DEC-20	EMEA/H/C/005306	15 mg	Capsule, hard	15 mg	PVC/PCTFE/AL perforated unit dose blister, N21	21
EU/1/20/1490/013	Lenalidomide Mylan	EU/1/20/1490/013	18-DEC-20	EMEA/H/C/005306	20 mg	Capsule, hard	20 mg	PVC/PCTFE/AL blister, N7	7
EU/1/20/1490/014	Lenalidomide Mylan	EU/1/20/1490/014	18-DEC-20	EMEA/H/C/005306	20 mg	Capsule, hard	20 mg	PVC/PCTFE/AL blister, N21	21
EU/1/20/1490/015	Lenalidomide Mylan	EU/1/20/1490/015	18-DEC-20	EMEA/H/C/005306	20 mg	Capsule, hard	20 mg	PVC/PCTFE/AL perforated unit dose blister, N21	21
EU/1/20/1490/016	Lenalidomide Mylan	EU/1/20/1490/016	18-DEC-20	EMEA/H/C/005306	25 mg	Capsule, hard	25 mg	PVC/PCTFE/AL blister, N7	7
EU/1/20/1490/017	Lenalidomide Mylan	EU/1/20/1490/017	18-DEC-20	EMEA/H/C/005306	25 mg	Capsule, hard	25 mg	PVC/PCTFE/AL blister, N21	21
EU/1/20/1490/018	Lenalidomide Mylan	EU/1/20/1490/018	18-DEC-20	EMEA/H/C/005306	25 mg	Capsule, hard	25 mg	PVC/PCTFE/AL perforated unit dose blister, N21	21
EU/1/20/1490/019	Lenalidomide Mylan	EU/1/20/1490/019	18-DEC-20	EMEA/H/C/005306	2.5 mg	Capsule, hard	2,5 mg	PVC/PCTFE/AL perforated unit dose blister, N7	7
EU/1/20/1490/020	Lenalidomide Mylan	EU/1/20/1490/020	18-DEC-20	EMEA/H/C/005306	5 mg	Capsule, hard	5 mg	PVC/PCTFE/AL perforated unit dose blister, N7	7
EU/1/20/1490/021	Lenalidomide Mylan	EU/1/20/1490/021	18-DEC-20	EMEA/H/C/005306	7.5 mg	Capsule, hard	7,5 mg	PVC/PCTFE/AL perforated unit dose blister, N7	7
EU/1/20/1490/022	Lenalidomide Mylan	EU/1/20/1490/022	18-DEC-20	EMEA/H/C/005306	10 mg	Capsule, hard	10 mg	PVC/PCTFE/AL blister, N7	7
EU/1/20/1490/023	Lenalidomide Mylan	EU/1/20/1490/023	18-DEC-20	EMEA/H/C/005306	10 mg	Capsule, hard	10 mg	PVC/PCTFE/AL perforated unit dose blister, N7	7
EU/1/20/1490/024	Lenalidomide Mylan	EU/1/20/1490/024	18-DEC-20	EMEA/H/C/005306	15 mg	Capsule, hard	15 mg	PVC/PCTFE/AL perforated unit dose blister, N7	7
EU/1/20/1490/025	Lenalidomide Mylan	EU/1/20/1490/025	18-DEC-20	EMEA/H/C/005306	20 mg	Capsule, hard	20 mg	PVC/PCTFE/AL perforated unit dose blister, N7	7
EU/1/20/1490/026	Lenalidomide Mylan	EU/1/20/1490/026	18-DEC-20	EMEA/H/C/005306	25 mg	Capsule, hard	25 mg	PVC/PCTFE/AL perforated unit dose blister, N7	7
