product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/11/701/001	711588	levetiracetam 250 MG Oral Tablet	311288				
EU/1/11/701/002	711588	levetiracetam 250 MG Oral Tablet	311288				
EU/1/11/701/003	711588	levetiracetam 250 MG Oral Tablet	311288				
EU/1/11/701/004	711588	levetiracetam 250 MG Oral Tablet	311288				
EU/1/11/701/005	711588	levetiracetam 250 MG Oral Tablet	311288				
EU/1/11/701/006	711588	levetiracetam 250 MG Oral Tablet	311288				
EU/1/11/701/007	711588	levetiracetam 250 MG Oral Tablet	311288				
EU/1/11/701/008	711589	levetiracetam 500 MG Oral Tablet	311289				
EU/1/11/701/009	711589	levetiracetam 500 MG Oral Tablet	311289				
EU/1/11/701/010	711589	levetiracetam 500 MG Oral Tablet	311289				
EU/1/11/701/011	711589	levetiracetam 500 MG Oral Tablet	311289				
EU/1/11/701/012	711589	levetiracetam 500 MG Oral Tablet	311289				
EU/1/11/701/013	711589	levetiracetam 500 MG Oral Tablet	311289				
EU/1/11/701/014	711589	levetiracetam 500 MG Oral Tablet	311289				
EU/1/11/701/015	19078781	levetiracetam 750 MG Oral Tablet	311290				
EU/1/11/701/016	19078781	levetiracetam 750 MG Oral Tablet	311290				
EU/1/11/701/017	19078781	levetiracetam 750 MG Oral Tablet	311290				
EU/1/11/701/018	19078781	levetiracetam 750 MG Oral Tablet	311290				
EU/1/11/701/019	19078781	levetiracetam 750 MG Oral Tablet	311290				
EU/1/11/701/020	19078781	levetiracetam 750 MG Oral Tablet	311290				
EU/1/11/701/021	19078781	levetiracetam 750 MG Oral Tablet	311290				
EU/1/11/701/022	19101553	levetiracetam 1000 MG Oral Tablet	387003				
EU/1/11/701/023	19101553	levetiracetam 1000 MG Oral Tablet	387003				
EU/1/11/701/024	19101553	levetiracetam 1000 MG Oral Tablet	387003				
EU/1/11/701/025	19101553	levetiracetam 1000 MG Oral Tablet	387003				
EU/1/11/701/026	19101553	levetiracetam 1000 MG Oral Tablet	387003				
EU/1/11/701/027	19101553	levetiracetam 1000 MG Oral Tablet	387003				
EU/1/11/701/028	19101553	levetiracetam 1000 MG Oral Tablet	387003				
EU/1/11/701/029	711588	levetiracetam 250 MG Oral Tablet	311288				
EU/1/11/701/030	711589	levetiracetam 500 MG Oral Tablet	311289				
EU/1/11/701/031	19078781	levetiracetam 750 MG Oral Tablet	311290				
EU/1/11/701/032	19101553	levetiracetam 1000 MG Oral Tablet	387003				
