product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/03/260/001	19102816	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet [Stalevo]	404551	EXACT			2026-02-17
EU/1/03/260/002	19102816	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet [Stalevo]	404551	EXACT			2026-02-17
EU/1/03/260/003	19102816	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet [Stalevo]	404551	EXACT			2026-02-17
EU/1/03/260/004	19102816	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet [Stalevo]	404551	EXACT			2026-02-17
EU/1/03/260/005	19102817	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet [Stalevo]	404552	EXACT			2026-02-17
EU/1/03/260/006	19102817	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet [Stalevo]	404552	EXACT			2026-02-17
EU/1/03/260/007	19102817	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet [Stalevo]	404552	EXACT			2026-02-17
EU/1/03/260/008	19102817	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet [Stalevo]	404552	EXACT			2026-02-17
EU/1/03/260/009	19102818	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet [Stalevo]	404553	EXACT			2026-02-17
EU/1/03/260/010	19102818	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet [Stalevo]	404553	EXACT			2026-02-17
EU/1/03/260/011	19102818	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet [Stalevo]	404553	EXACT			2026-02-17
EU/1/03/260/012	19102818	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet [Stalevo]	404553	EXACT			2026-02-17
EU/1/03/260/013	19102816	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet [Stalevo]	404551	EXACT			2026-02-17
EU/1/03/260/014	19102817	carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet [Stalevo]	404552	EXACT			2026-02-17
EU/1/03/260/015	19102818	carbidopa 37.5 MG / entacapone 200 MG / levodopa 150 MG Oral Tablet [Stalevo]	404553	EXACT			2026-02-17
EU/1/03/260/016	19102816	carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet [Stalevo]	404551	EXACT			2026-02-17
