product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/12/780/001	Jentadueto	EU/1/12/780/001	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N10	10
EU/1/12/780/002	Jentadueto	EU/1/12/780/002	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N14	14
EU/1/12/780/003	Jentadueto	EU/1/12/780/003	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N28	28
EU/1/12/780/004	Jentadueto	EU/1/12/780/004	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N30	30
EU/1/12/780/005	Jentadueto	EU/1/12/780/005	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N56	56
EU/1/12/780/006	Jentadueto	EU/1/12/780/006	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N60	60
EU/1/12/780/007	Jentadueto	EU/1/12/780/007	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N84	84
EU/1/12/780/008	Jentadueto	EU/1/12/780/008	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N90	90
EU/1/12/780/009	Jentadueto	EU/1/12/780/009	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N98	98
EU/1/12/780/010	Jentadueto	EU/1/12/780/010	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N100	100
EU/1/12/780/011	Jentadueto	EU/1/12/780/011	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N120	120
EU/1/12/780/012	Jentadueto	EU/1/12/780/012	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	HDPE bottle, N14	14
EU/1/12/780/013	Jentadueto	EU/1/12/780/013	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	HDPE bottle, N60	60
EU/1/12/780/014	Jentadueto	EU/1/12/780/014	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	HDPE bottle, N180	180
EU/1/12/780/015	Jentadueto	EU/1/12/780/015	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	PVC/PCTFE/PVC/AL unit-dose blister, N10	10
EU/1/12/780/016	Jentadueto	EU/1/12/780/016	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	PVC/PCTFE/PVC/AL unit-dose blister, N14	14
EU/1/12/780/017	Jentadueto	EU/1/12/780/017	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	PVC/PCTFE/PVC/AL unit-dose blister, N28	28
EU/1/12/780/018	Jentadueto	EU/1/12/780/018	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	PVC/PCTFE/PVC/AL unit-dose blister, N30	30
EU/1/12/780/019	Jentadueto	EU/1/12/780/019	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	PVC/PCTFE/PVC/AL unit-dose blister, N56	56
EU/1/12/780/020	Jentadueto	EU/1/12/780/020	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	PVC/PCTFE/PVC/AL unit-dose blister, N60	60
EU/1/12/780/021	Jentadueto	EU/1/12/780/021	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	PVC/PCTFE/PVC/AL unit-dose blister, N84	84
EU/1/12/780/022	Jentadueto	EU/1/12/780/022	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	PVC/PCTFE/PVC/AL unit-dose blister, N90	90
EU/1/12/780/023	Jentadueto	EU/1/12/780/023	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	PVC/PCTFE/PVC/AL unit-dose blister, N98	98
EU/1/12/780/024	Jentadueto	EU/1/12/780/024	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	PVC/PCTFE/PVC/AL unit-dose blister, N100	100
EU/1/12/780/025	Jentadueto	EU/1/12/780/025	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	PVC/PCTFE/PVC/AL unit-dose blister, N120	120
EU/1/12/780/026	Jentadueto	EU/1/12/780/026	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	HDPE bottle, N14	14
EU/1/12/780/027	Jentadueto	EU/1/12/780/027	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	HDPE bottle, N60	60
EU/1/12/780/028	Jentadueto	EU/1/12/780/028	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	HDPE bottle, N180	180
EU/1/12/780/029	Jentadueto	EU/1/12/780/029	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N120	120
EU/1/12/780/030	Jentadueto	EU/1/12/780/030	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N180	180
EU/1/12/780/031	Jentadueto	EU/1/12/780/031	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N200	200
EU/1/12/780/032	Jentadueto	EU/1/12/780/032	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	PVC/PCTFE/PVC/AL unit-dose blister, N120	120
EU/1/12/780/033	Jentadueto	EU/1/12/780/033	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	PVC/PCTFE/PVC/AL unit-dose blister, N180	180
EU/1/12/780/034	Jentadueto	EU/1/12/780/034	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N200	200
EU/1/12/780/035	Jentadueto	EU/1/12/780/035	20-JUL-12	EMEA/H/C/002279	2.5 mg/850 mg	Film-coated tablet	2,5 mg/850 mg	PVC/PCTFE/PVC/AL unit-dose blister, N180	180
EU/1/12/780/036	Jentadueto	EU/1/12/780/036	20-JUL-12	EMEA/H/C/002279	2.5 mg/1000 mg	Film-coated tablet	2,5 mg/1000 mg	PVC/PCTFE/PVC/AL unit-dose blister, N180	180
