product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
24-0270-01	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N10	10
24-0270-02	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N14	14
24-0270-03	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N28	28
24-0270-04	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N30	30
24-0270-05	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N60	60
24-0270-06	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N90	90
24-0270-07	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N100	100
24-0270-08	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N120	120
24-0270-09	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N10	10
24-0270-10	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N14	14
24-0270-11	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N28	28
24-0270-12	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N30	30
24-0270-13	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N60	60
24-0270-14	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N90	90
24-0270-15	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N100	100
24-0270-16	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, OPA/Al/PVC/Al perforated unit dose blister, N120	120
24-0270-17	Tingapla 5 mg film-coated tablets	24-0270	07-OCT-24	HU/H/0905/001	5 mg	Film-coated tablet	5 mg	Carton box, HDPE bottle, N120	120
