product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
26-0033-01	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/Al blister, N12	12
26-0033-02	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/Al blister, N15	15
26-0033-03	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/Al blister, N18	18
26-0033-04	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/Al blister, N20	20
26-0033-05	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/Al blister, N21	21
26-0033-06	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/Al blister, N28	28
26-0033-07	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/Al blister, N30	30
26-0033-08	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/Al blister, N56	56
26-0033-09	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/Al blister, N60	60
26-0033-10	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/Al blister, N84	84
26-0033-11	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/Al blister, N90	90
26-0033-12	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/Al blister, N100	100
26-0033-13	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/PVDC/Al blister, N12	12
26-0033-14	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/PVDC/Al blister, N15	15
26-0033-15	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/PVDC/Al blister, N18	18
26-0033-16	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/PVDC/Al blister, N20	20
26-0033-17	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/PVDC/Al blister, N21	21
26-0033-18	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/PVDC/Al blister, N28	28
26-0033-19	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/PVDC/Al blister, N30	30
26-0033-20	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/PVDC/Al blister, N56	56
26-0033-21	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/PVDC/Al blister, N60	60
26-0033-22	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/PVDC/Al blister, N84	84
26-0033-23	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/PVDC/Al blister, N90	90
26-0033-24	Mebeverine SanoSwiss 135 mg film-coated tablets	26-0033	06-MAR-26	LT/H/0225/001	135 mg	Film-coated tablet	135 mg	Carton box, PVC/PVDC/Al blister, N100	100
