product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/13/836/001	Memantine ratiopharm	EU/1/13/836/001	13-JUN-13	EMEA/H/C/002671	10 mg	Film-coated tablet	10 mg	PVC/PVDC/Al blister, N10	10
EU/1/13/836/002	Memantine ratiopharm	EU/1/13/836/002	13-JUN-13	EMEA/H/C/002671	10 mg	Film-coated tablet	10 mg	PVC/PVDC/Al blister, N14	14
EU/1/13/836/003	Memantine ratiopharm	EU/1/13/836/003	13-JUN-13	EMEA/H/C/002671	10 mg	Film-coated tablet	10 mg	PVC/PVDC/Al blister, N21	21
EU/1/13/836/004	Memantine ratiopharm	EU/1/13/836/004	13-JUN-13	EMEA/H/C/002671	10 mg	Film-coated tablet	10 mg	PVC/PVDC/Al blister, N28	28
EU/1/13/836/005	Memantine ratiopharm	EU/1/13/836/005	13-JUN-13	EMEA/H/C/002671	10 mg	Film-coated tablet	10 mg	PVC/PVDC/Al blister, N30	30
EU/1/13/836/006	Memantine ratiopharm	EU/1/13/836/006	13-JUN-13	EMEA/H/C/002671	10 mg	Film-coated tablet	10 mg	PVC/PVDC/Al blister, N42	42
EU/1/13/836/007	Memantine ratiopharm	EU/1/13/836/007	13-JUN-13	EMEA/H/C/002671	10 mg	Film-coated tablet	10 mg	PVC/PVDC/Al blister, N50	50
EU/1/13/836/008	Memantine ratiopharm	EU/1/13/836/008	13-JUN-13	EMEA/H/C/002671	10 mg	Film-coated tablet	10 mg	PVC/PVDC/Al blister, N56	56
EU/1/13/836/009	Memantine ratiopharm	EU/1/13/836/009	13-JUN-13	EMEA/H/C/002671	10 mg	Film-coated tablet	10 mg	PVC/PVDC/Al blister, N98	98
EU/1/13/836/010	Memantine ratiopharm	EU/1/13/836/010	13-JUN-13	EMEA/H/C/002671	10 mg	Film-coated tablet	10 mg	PVC/PVDC/Al blister, N100	100
EU/1/13/836/011	Memantine ratiopharm	EU/1/13/836/011	13-JUN-13	EMEA/H/C/002671	10 mg	Film-coated tablet	10 mg	PVC/PVDC/Al blister, N112	112
EU/1/13/836/012	Memantine ratiopharm	EU/1/13/836/012	13-JUN-13	EMEA/H/C/002671	10 mg	Film-coated tablet	10 mg	HDPE bottle, N100	100
EU/1/13/836/013	Memantine ratiopharm	EU/1/13/836/013	13-JUN-13	EMEA/H/C/002671	20 mg	Film-coated tablet	20 mg	PVC/PVDC/Al blister, N10	10
EU/1/13/836/014	Memantine ratiopharm	EU/1/13/836/014	13-JUN-13	EMEA/H/C/002671	20 mg	Film-coated tablet	20 mg	PVC/PVDC/Al blister, N14	14
EU/1/13/836/015	Memantine ratiopharm	EU/1/13/836/015	13-JUN-13	EMEA/H/C/002671	20 mg	Film-coated tablet	20 mg	PVC/PVDC/Al blister, N21	21
EU/1/13/836/016	Memantine ratiopharm	EU/1/13/836/016	13-JUN-13	EMEA/H/C/002671	20 mg	Film-coated tablet	28 mg	PVC/PVDC/Al blister, N28	28
EU/1/13/836/017	Memantine ratiopharm	EU/1/13/836/017	13-JUN-13	EMEA/H/C/002671	20 mg	Film-coated tablet	20 mg	PVC/PVDC/Al blister, N30	30
EU/1/13/836/018	Memantine ratiopharm	EU/1/13/836/018	13-JUN-13	EMEA/H/C/002671	20 mg	Film-coated tablet	20 mg	PVC/PVDC/Al blister, N42	42
EU/1/13/836/019	Memantine ratiopharm	EU/1/13/836/019	13-JUN-13	EMEA/H/C/002671	20 mg	Film-coated tablet	20 mg	PVC/PVDC/Al blister, N56	56
EU/1/13/836/020	Memantine ratiopharm	EU/1/13/836/020	13-JUN-13	EMEA/H/C/002671	20 mg	Film-coated tablet	20 mg	PVC/PVDC/Al blister, N98	98
EU/1/13/836/021	Memantine ratiopharm	EU/1/13/836/021	13-JUN-13	EMEA/H/C/002671	20 mg	Film-coated tablet	20 mg	PVC/PVDC/Al blister, N100	100
EU/1/13/836/022	Memantine ratiopharm	EU/1/13/836/022	13-JUN-13	EMEA/H/C/002671	20 mg	Film-coated tablet	20 mg	HDPE bottle, N100	100
EU/1/13/836/023	Memantine ratiopharm	EU/1/13/836/023	13-JUN-13	EMEA/H/C/002671	5 mg + 10 mg + 15 mg + 20 mg	Film-coated tablet	1 UD	PVC/PVDC/Al blister, N28	28
