product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/16/1124/001	1146771	0.3 ML methotrexate 25 MG/ML Prefilled Syringe	2377353	EXACT	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.3 ML methotrexate 25 MG/ML Auto-Injector	2026-04-07
EU/1/16/1124/002	44506726	0.4 ML methotrexate 25 MG/ML Auto-Injector	1441402	EXACT	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.4 ML methotrexate 25 MG/ML Auto-Injector	2026-04-07
EU/1/16/1124/003	1146759	0.5 ML methotrexate 25 MG/ML Prefilled Syringe	2377341	EXACT	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.5 ML methotrexate 25 MG/ML Auto-Injector	2026-04-07
EU/1/16/1124/004	1146761	0.6 ML methotrexate 25 MG/ML Prefilled Syringe	2377343	EXACT	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.6 ML methotrexate 25 MG/ML Auto-Injector	2026-04-07
EU/1/16/1124/005	1146763	0.7 ML methotrexate 25 MG/ML Prefilled Syringe	2377345	EXACT	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.7 ML methotrexate 25 MG/ML Auto-Injector	2026-04-07
EU/1/16/1124/006	1146765	0.8 ML methotrexate 25 MG/ML Prefilled Syringe	2377347	EXACT	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.8 ML methotrexate 25 MG/ML Auto-Injector	2026-04-07
EU/1/16/1124/007	1146767	0.9 ML methotrexate 25 MG/ML Prefilled Syringe	2377349	EXACT	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.9 ML methotrexate 25 MG/ML Auto-Injector	2026-04-07
EU/1/16/1124/008	1146769	1 ML methotrexate 25 MG/ML Prefilled Syringe	2377351	EXACT	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	1 ML methotrexate 25 MG/ML Auto-Injector	2026-04-07
EU/1/16/1124/009	1146771	0.3 ML methotrexate 25 MG/ML Prefilled Syringe	2377353	EXACT	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.3 ML methotrexate 25 MG/ML Auto-Injector	2026-04-07
EU/1/16/1124/010	44506728	methotrexate 25 MG/ML Auto-Injector	1441408	BROAD	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.3 ML methotrexate 25 MG/ML Auto-Injector	2026-04-03
EU/1/16/1124/011	44506726	0.4 ML methotrexate 25 MG/ML Auto-Injector	1441402	EXACT	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.4 ML methotrexate 25 MG/ML Auto-Injector	2026-04-07
EU/1/16/1124/012	44506728	methotrexate 25 MG/ML Auto-Injector	1441408	BROAD	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.4 ML methotrexate 25 MG/ML Auto-Injector	2026-04-03
EU/1/16/1124/013	1146759	0.5 ML methotrexate 25 MG/ML Prefilled Syringe	2377341	EXACT	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.5 ML methotrexate 25 MG/ML Auto-Injector	2026-04-07
EU/1/16/1124/014	44506728	methotrexate 25 MG/ML Auto-Injector	1441408	BROAD	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.5 ML methotrexate 25 MG/ML Auto-Injector	2026-04-03
EU/1/16/1124/015	1146761	0.6 ML methotrexate 25 MG/ML Prefilled Syringe	2377343	EXACT	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.6 ML methotrexate 25 MG/ML Auto-Injector	2026-04-07
EU/1/16/1124/016	44506728	methotrexate 25 MG/ML Auto-Injector	1441408	BROAD	RxNorm lacks the matching volume-specific 25 MG/ML auto-injector presentation.	0.6 ML methotrexate 25 MG/ML Auto-Injector	2026-04-03
