product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/07/400/008	45775170	0.3 ML methoxy polyethylene glycol-epoetin beta 0.167 MG/ML Prefilled Syringe [Mircera]	1591961	EXACT			2026-02-17
EU/1/07/400/009	45775173	0.3 ML methoxy polyethylene glycol-epoetin beta 0.25 MG/ML Prefilled Syringe [Mircera]	1591964	EXACT			2026-02-17
EU/1/07/400/010	45775176	0.3 ML methoxy polyethylene glycol-epoetin beta 0.333 MG/ML Prefilled Syringe [Mircera]	1591967	EXACT			2026-02-17
EU/1/07/400/011	45775179	0.3 ML methoxy polyethylene glycol-epoetin beta 0.5 MG/ML Prefilled Syringe [Mircera]	1591970	EXACT			2026-02-17
EU/1/07/400/012	45775182	0.3 ML methoxy polyethylene glycol-epoetin beta 0.667 MG/ML Prefilled Syringe [Mircera]	1591973	EXACT			2026-02-17
EU/1/07/400/013	45775185	0.3 ML methoxy polyethylene glycol-epoetin beta 0.833 MG/ML Prefilled Syringe [Mircera]	1591976	EXACT			2026-02-17
EU/1/07/400/017	42629049	0.3 ML methoxy polyethylene glycol-epoetin beta 0.1 MG/ML Prefilled Syringe [Mircera]	1792485	EXACT			2026-02-17
EU/1/07/400/020	42629054	0.3 ML methoxy polyethylene glycol-epoetin beta 0.4 MG/ML Prefilled Syringe [Mircera]	1792490	EXACT			2026-02-17
EU/1/07/400/021	42629059	0.6 ML methoxy polyethylene glycol-epoetin beta 0.6 MG/ML Prefilled Syringe [Mircera]	1792495	EXACT		0.6 ML methoxy polyethylene glycol-epoetin beta 0.833 MG/ML Prefilled Syringe	2026-02-17
EU/1/07/400/022	42629049	0.3 ML methoxy polyethylene glycol-epoetin beta 0.1 MG/ML Prefilled Syringe [Mircera]	1792485	EXACT			2026-02-17
EU/1/07/400/023	45775170	0.3 ML methoxy polyethylene glycol-epoetin beta 0.167 MG/ML Prefilled Syringe [Mircera]	1591961	EXACT			2026-02-17
EU/1/07/400/024	45775173	0.3 ML methoxy polyethylene glycol-epoetin beta 0.25 MG/ML Prefilled Syringe [Mircera]	1591964	EXACT			2026-02-17
EU/1/07/400/018							
EU/1/07/400/019							
