product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/12/809/001	Betmiga	EU/1/12/809/001	20-DEC-12	EMEA/H/C/002388	25 mg	Prolonged-release tablet	25 mg	Al/Al blister, N10	10
EU/1/12/809/002	Betmiga	EU/1/12/809/002	20-DEC-12	EMEA/H/C/002388	25 mg	Prolonged-release tablet	25 mg	Al/Al blister, N20	20
EU/1/12/809/003	Betmiga	EU/1/12/809/003	20-DEC-12	EMEA/H/C/002388	25 mg	Prolonged-release tablet	25 mg	Al/Al blister, N30	30
EU/1/12/809/004	Betmiga	EU/1/12/809/004	20-DEC-12	EMEA/H/C/002388	25 mg	Prolonged-release tablet	25 mg	Al/Al blister, N60	60
EU/1/12/809/005	Betmiga	EU/1/12/809/005	20-DEC-12	EMEA/H/C/002388	25 mg	Prolonged-release tablet	25 mg	Al/Al blister, N90	90
EU/1/12/809/006	Betmiga	EU/1/12/809/006	20-DEC-12	EMEA/H/C/002388	25 mg	Prolonged-release tablet	25 mg	Al/Al blister, N200	200
EU/1/12/809/007	Betmiga	EU/1/12/809/007	20-DEC-12	EMEA/H/C/002388	25 mg	Prolonged-release tablet	25 mg	HDPE bottle, N90	90
EU/1/12/809/008	Betmiga	EU/1/12/809/008	20-DEC-12	EMEA/H/C/002388	50 mg	Prolonged-release tablet	50 mg	Al/Al blister, N10	10
EU/1/12/809/009	Betmiga	EU/1/12/809/009	20-DEC-12	EMEA/H/C/002388	50 mg	Prolonged-release tablet	50 mg	Al/Al blister, N20	20
EU/1/12/809/010	Betmiga	EU/1/12/809/010	20-DEC-12	EMEA/H/C/002388	50 mg	Prolonged-release tablet	50 mg	Al/Al blister, N30	30
EU/1/12/809/011	Betmiga	EU/1/12/809/011	20-DEC-12	EMEA/H/C/002388	50 mg	Prolonged-release tablet	50 mg	Al/Al blister, N60	60
EU/1/12/809/012	Betmiga	EU/1/12/809/012	20-DEC-12	EMEA/H/C/002388	50 mg	Prolonged-release tablet	50 mg	Al/Al blister, N90	90
EU/1/12/809/013	Betmiga	EU/1/12/809/013	20-DEC-12	EMEA/H/C/002388	50 mg	Prolonged-release tablet	50 mg	Al/Al blister, N200	200
EU/1/12/809/014	Betmiga	EU/1/12/809/014	20-DEC-12	EMEA/H/C/002388	50 mg	Prolonged-release tablet	50 mg	HDPE bottle, N90	90
EU/1/12/809/015	Betmiga	EU/1/12/809/015	20-DEC-12	EMEA/H/C/002388	25 mg	Prolonged-release tablet	25 mg	Al/Al blister, N50	50
EU/1/12/809/016	Betmiga	EU/1/12/809/016	20-DEC-12	EMEA/H/C/002388	25 mg	Prolonged-release tablet	25 mg	Al/Al blister, N100	100
EU/1/12/809/017	Betmiga	EU/1/12/809/017	20-DEC-12	EMEA/H/C/002388	50 mg	Prolonged-release tablet	50 mg	Al/Al blister, N50	50
EU/1/12/809/018	Betmiga	EU/1/12/809/018	20-DEC-12	EMEA/H/C/002388	50 mg	Prolonged-release tablet	50 mg	Al/Al blister, N100	100
EU/1/12/809/019	Betmiga	EU/1/12/809/019	22-AUG-24	EMEA/H/C/002388	8 mg/ml	Prolonged-release granules for oral suspension	830 mg	PET bottle and measuring spoon, N1	1
EU/1/12/809/020	Betmiga	EU/1/12/809/020	22-AUG-24	EMEA/H/C/002388	8 mg/ml	Prolonged-release granules for oral suspension	830 mg	PET bottle, N1	1
