product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
09-0074-01	36259654	Hydrochlorothiazide 12.5 MG / nebivolol 5 MG Oral Tablet	OMOP3110529	EXACT			2026-04-06
09-0074-02	36259654	Hydrochlorothiazide 12.5 MG / nebivolol 5 MG Oral Tablet	OMOP3110529	EXACT			2026-04-06
09-0074-03	36259654	Hydrochlorothiazide 12.5 MG / nebivolol 5 MG Oral Tablet	OMOP3110529	EXACT			2026-04-06
09-0074-04	36259654	Hydrochlorothiazide 12.5 MG / nebivolol 5 MG Oral Tablet	OMOP3110529	EXACT			2026-04-06
09-0074-05	36259654	Hydrochlorothiazide 12.5 MG / nebivolol 5 MG Oral Tablet	OMOP3110529	EXACT			2026-04-06
09-0074-06	36259654	Hydrochlorothiazide 12.5 MG / nebivolol 5 MG Oral Tablet	OMOP3110529	EXACT			2026-04-06
09-0075-01	36267371	Hydrochlorothiazide 25 MG / nebivolol 5 MG Oral Tablet	OMOP3118246	EXACT			2026-04-06
09-0075-02	36267371	Hydrochlorothiazide 25 MG / nebivolol 5 MG Oral Tablet	OMOP3118246	EXACT			2026-04-06
09-0075-03	36267371	Hydrochlorothiazide 25 MG / nebivolol 5 MG Oral Tablet	OMOP3118246	EXACT			2026-04-06
09-0075-04	36267371	Hydrochlorothiazide 25 MG / nebivolol 5 MG Oral Tablet	OMOP3118246	EXACT			2026-04-06
09-0075-05	36267371	Hydrochlorothiazide 25 MG / nebivolol 5 MG Oral Tablet	OMOP3118246	EXACT			2026-04-06
09-0075-06	36267371	Hydrochlorothiazide 25 MG / nebivolol 5 MG Oral Tablet	OMOP3118246	EXACT			2026-04-06
