product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/03/271/001	Advate	EU/1/03/271/001	02-MAR-04	EMEA/H/C/000520	250 IU	Powder and solvent for solution for injection	250 IU/5 ml	Carton box, Glass vial and vial, N1	1
EU/1/03/271/002	Advate	EU/1/03/271/002	02-MAR-04	EMEA/H/C/000520	500 IU	Powder and solvent for solution for injection	500 IU/5 ml	Carton box, Glass vial and vial, N1	1
EU/1/03/271/003	Advate	EU/1/03/271/003	02-MAR-04	EMEA/H/C/000520	1000 IU	Powder and solvent for solution for injection	1000 IU/5 ml	Carton box, Glass vial and vial, N1	1
EU/1/03/271/004	Advate	EU/1/03/271/004	02-MAR-04	EMEA/H/C/000520	1500 IU	Powder and solvent for solution for injection	1500 IU/5 ml	Carton box, Glass vial and vial, N1	1
EU/1/03/271/005	Advate	EU/1/03/271/005	22-MAY-08	EMEA/H/C/000520	2000 IU	Powder and solvent for solution for injection	2000 IU/5 ml	Carton box, Glass vial and vial, N1	1
EU/1/03/271/006	Advate	EU/1/03/271/006	22-MAY-08	EMEA/H/C/000520	3000 IU	Powder and solvent for solution for injection	3000 IU/5 ml	Carton box, Glass vial and vial, N1	1
EU/1/03/271/007	Advate	EU/1/03/271/007	19-DEC-11	EMEA/H/C/000520	250 IU	Powder and solvent for solution for injection	250 IU/2 ml	Glass vial and vial, N1	1
EU/1/03/271/008	Advate	EU/1/03/271/008	19-DEC-11	EMEA/H/C/000520	500 IU	Powder and solvent for solution for injection	500 IU/2 ml	Glass vial and vial, N1	1
EU/1/03/271/009	Advate	EU/1/03/271/009	19-DEC-11	EMEA/H/C/000520	1000 IU	Powder and solvent for solution for injection	1000 IU/2 ml	Glass vial and vial, N1	1
EU/1/03/271/010	Advate	EU/1/03/271/010	19-DEC-11	EMEA/H/C/000520	1500 IU	Powder and solvent for solution for injection	1500 IU/2 ml	Glass vial and vial, N1	1
EU/1/03/271/011	Advate	EU/1/03/271/011	02-MAR-04	EMEA/H/C/000520	250 IU	Powder and solvent for solution for injection	250 IU/5 ml	Glass vial and vial, N1	1
EU/1/03/271/012	Advate	EU/1/03/271/012	02-MAR-04	EMEA/H/C/000520	500 IU	Powder and solvent for solution for injection	500 IU/5 ml	Glass vial and vial, N1	1
EU/1/03/271/013	Advate	EU/1/03/271/013	02-MAR-04	EMEA/H/C/000520	1000 IU	Powder and solvent for solution for injection	1000 IU/5 ml	Glass vial and vial, N1	1
EU/1/03/271/014	Advate	EU/1/03/271/014	02-MAR-04	EMEA/H/C/000520	1500 IU	Powder and solvent for solution for injection	1500 IU/5 ml	Glass vial and vial, N1	1
EU/1/03/271/015	Advate	EU/1/03/271/015	02-MAR-04	EMEA/H/C/000520	2000 IU	Powder and solvent for solution for injection	2000 IU/5 ml	Glass vial and vial, N1	1
EU/1/03/271/016	Advate	EU/1/03/271/016	02-MAR-04	EMEA/H/C/000520	3000 IU	Powder and solvent for solution for injection	3000 IU/5 ml	Glass vial and vial, N1	1
EU/1/03/271/017	Advate	EU/1/03/271/017	02-MAR-04	EMEA/H/C/000520	250 IU	Powder and solvent for solution for injection	250 IU/2 ml	Glass vial and vial, N1	1
EU/1/03/271/018	Advate	EU/1/03/271/018	02-MAR-04	EMEA/H/C/000520	500 IU	Powder and solvent for solution for injection	500 IU/2 ml	Glass vial and vial, N1	1
EU/1/03/271/019	Advate	EU/1/03/271/019	02-MAR-04	EMEA/H/C/000520	1000 IU	Powder and solvent for solution for injection	1000 IU/2 ml	Glass vial and vial, N1	1
EU/1/03/271/020	Advate	EU/1/03/271/020	02-MAR-04	EMEA/H/C/000520	1500 IU	Powder and solvent for solution for injection	1500 IU/2 ml	Glass vial and vial, N1	1
