product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
20-0065-01	Olmesartan medoxomil/Amlodipine/Hydrochlorothiazide Accord 20 mg/5 mg/12.5 mg film-coated tablets	20-0065	19-MAY-20	NL/H/6466/001	20 mg/5 mg/12.5 mg	Film-coated tablet	1 UD	Carton box, Al/Al blister, N14	14
20-0065-02	Olmesartan medoxomil/Amlodipine/Hydrochlorothiazide Accord 20 mg/5 mg/12.5 mg film-coated tablets	20-0065	19-MAY-20	NL/H/6466/001	20 mg/5 mg/12.5 mg	Film-coated tablet	1 UD	Carton box, Al/Al blister, N28	28
20-0065-03	Olmesartan medoxomil/Amlodipine/Hydrochlorothiazide Accord 20 mg/5 mg/12.5 mg film-coated tablets	20-0065	19-MAY-20	NL/H/6466/001	20 mg/5 mg/12.5 mg	Film-coated tablet	1 UD	Carton box, Al/Al blister, N56	56
20-0065-04	Olmesartan medoxomil/Amlodipine/Hydrochlorothiazide Accord 20 mg/5 mg/12.5 mg film-coated tablets	20-0065	19-MAY-20	NL/H/6466/001	20 mg/5 mg/12.5 mg	Film-coated tablet	1 UD	Carton box, Al/Al blister, N98	98
20-0066-01	Olmesartan medoxomil/Amlodipine/Hydrochlorothiazide Accord 40 mg/5 mg/12.5 mg film-coated tablets	20-0066	19-MAY-20	NL/H/6466/002	40 mg/5 mg/12.5 mg	Film-coated tablet	1 UD	Carton box, Al/Al blister, N14	14
20-0066-02	Olmesartan medoxomil/Amlodipine/Hydrochlorothiazide Accord 40 mg/5 mg/12.5 mg film-coated tablets	20-0066	19-MAY-20	NL/H/6466/002	40 mg/5 mg/12.5 mg	Film-coated tablet	1 UD	Carton box, Al/Al blister, N28	28
20-0066-03	Olmesartan medoxomil/Amlodipine/Hydrochlorothiazide Accord 40 mg/5 mg/12.5 mg film-coated tablets	20-0066	19-MAY-20	NL/H/6466/002	40 mg/5 mg/12.5 mg	Film-coated tablet	1 UD	Carton box, Al/Al blister, N56	56
20-0066-04	Olmesartan medoxomil/Amlodipine/Hydrochlorothiazide Accord 40 mg/5 mg/12.5 mg film-coated tablets	20-0066	19-MAY-20	NL/H/6466/002	40 mg/5 mg/12.5 mg	Film-coated tablet	1 UD	Carton box, Al/Al blister, N98	98
20-0067-01	Olmesartan medoxomil/Amlodipine/Hydrochlorothiazide Accord 40 mg/10 mg/12.5 mg film-coated tablets	20-0067	19-MAY-20	NL/H/6466/003	40 mg/10 mg/12.5 mg	Film-coated tablet	1 UD	Carton box, Al/Al blister, N14	14
20-0067-02	Olmesartan medoxomil/Amlodipine/Hydrochlorothiazide Accord 40 mg/10 mg/12.5 mg film-coated tablets	20-0067	19-MAY-20	NL/H/6466/003	40 mg/10 mg/12.5 mg	Film-coated tablet	1 UD	Carton box, Al/Al blister, N28	28
20-0067-03	Olmesartan medoxomil/Amlodipine/Hydrochlorothiazide Accord 40 mg/10 mg/12.5 mg film-coated tablets	20-0067	19-MAY-20	NL/H/6466/003	40 mg/10 mg/12.5 mg	Film-coated tablet	1 UD	Carton box, Al/Al blister, N56	56
20-0067-04	Olmesartan medoxomil/Amlodipine/Hydrochlorothiazide Accord 40 mg/10 mg/12.5 mg film-coated tablets	20-0067	19-MAY-20	NL/H/6466/003	40 mg/10 mg/12.5 mg	Film-coated tablet	1 UD	Carton box, Al/Al blister, N98	98
