product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
05-0631-01	19102491	hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet	403853				
05-0631-02	19102491	hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet	403853				
05-0631-03	19102491	hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet	403853				
05-0631-04	19102491	hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet	403853				
05-0631-05	19102491	hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet	403853				
05-0631-06	19102491	hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet	403853				
05-0631-07	19102491	hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet	403853				
05-0631-08	19102491	hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet	403853				
05-0631-09	19102491	hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet	403853				
05-0631-10	19102491	hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet	403853				
05-0631-11	19102491	hydrochlorothiazide 12.5 MG / olmesartan medoxomil 20 MG Oral Tablet	403853				
10-0145-01	19102492	hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet	403854				
10-0145-02	19102492	hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet	403854				
10-0145-03	19102492	hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet	403854				
10-0146-01	19102493	hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet	403855				
10-0146-02	19102493	hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet	403855				
10-0146-03	19102493	hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet	403855				
05-0632-01							
05-0632-02							
05-0632-03							
05-0632-04							
05-0632-05							
05-0632-06							
05-0632-07							
05-0632-08							
05-0632-09							
05-0632-10							
05-0632-11							
