product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
04-0062-01	Mesar 10 mg film-coated tablets	04-0062	09-MAR-04	04-0062	10 mg	Film-coated tablet	10 mg	Box, Blister, N28	28
04-0062-02	Mesar 10 mg film-coated tablets	04-0062	09-MAR-04	04-0062	10 mg	Film-coated tablet	10 mg	Box, Blister, N56	56
04-0062-03	Mesar 10 mg film-coated tablets	04-0062	09-MAR-04	04-0062	10 mg	Film-coated tablet	10 mg	Box, Blister, N98	98
04-0062-04	Mesar 10 mg film-coated tablets	04-0062	09-MAR-04	04-0062	10 mg	Film-coated tablet	10 mg	Carton box, Blister, N14	14
04-0063-01	Mesar 20 mg film-coated tablets	04-0063	09-MAR-04	04-0063	20 mg	Film-coated tablet	20 mg	Box, Blister, N28	28
04-0063-02	Mesar 20 mg film-coated tablets	04-0063	09-MAR-04	04-0063	20 mg	Film-coated tablet	20 mg	Box, Blister, N56	56
04-0063-03	Mesar 20 mg film-coated tablets	04-0063	09-MAR-04	04-0063	20 mg	Film-coated tablet	20 mg	Box, Blister, N98	98
04-0063-04	Mesar 20 mg film-coated tablets	04-0063	09-MAR-04	04-0063	20 mg	Film-coated tablet	20 mg	Box, Blister, N14	14
04-0064-01	Mesar 40 mg film-coated tablets	04-0064	09-MAR-04	04-0064	40 mg	Film-coated tablet	40 mg	Box, Blister, N28	28
04-0064-02	Mesar 40 mg film-coated tablets	04-0064	09-MAR-04	04-0064	40 mg	Film-coated tablet	40 mg	Box, Blister, N56	56
04-0064-03	Mesar 40 mg film-coated tablets	04-0064	09-MAR-04	04-0064	40 mg	Film-coated tablet	40 mg	Box, Blister, N98	98
04-0064-04	Mesar 40 mg film-coated tablets	04-0064	09-MAR-04	04-0064	40 mg	Film-coated tablet	40 mg	Box, Blister, N14	14
